철도운영기관명,선명,역명,역간거리
코레일,수인,오이도,1.4
코레일,수인,달월,2.1
코레일,수인,월곶,1.5
코레일,수인,소래포구,1.3
코레일,수인,인천논현,1
코레일,수인,호구포,1.3
코레일,수인,남동인더스파크,1.3
코레일,수인,원인재,1
코레일,수인,연수,0.9
코레일,수인,송도,2.7
코레일,수인,인하대,2.4
코레일,수인,숭의(인하대병원),1.8
코레일,수인,신포,1.5
코레일,수인,인천,1.1















