철도운영기관명,선명,역명,역간거리
코레일,경강,판교,0.5
코레일,경강,이매,1.5
코레일,경강,삼동,6.9
코레일,경강,경기광주,4.9
코레일,경강,초월,5
코레일,경강,곤지암,4.9
코레일,경강,신둔도예촌,6.8
코레일,경강,이천,7.8
코레일,경강,부발,4.5
코레일,경강,세종대왕릉,8.3
코레일,경강,여주,5.4
