연번,호선,역명,역간거리(km),호선별누계(km)
189,6,새절(신사),0.9,7.5
190,6,증산(명지대앞),0.9,8.4
191,6,디지털미디어시티,1.1,9.5
192,6,월드컵경기장(성산),0.8,10.3
193,6,마포구청,0.8,11.1
194,6,망원,1,12.1
195,6,합정,0.8,12.9
196,6,상수,0.8,13.7
197,6,광흥창(서강),0.9,14.6
198,6,대흥(서강대앞),1,15.6
199,6,공덕,0.9,16.5
200,6,효창공원앞,0.9,17.4
201,6,삼각지,1.2,18.6
202,6,녹사평(용산구청),1.1,19.7
203,6,이태원,0.8,20.5
204,6,한강진,1,21.5
205,6,버티고개,1,22.5
206,6,약수,0.7,23.2
207,6,청구,0.8,24
208,6,신당,0.7,24.7
209,6,동묘앞,0.6,25.3
210,6,창신,0.9,26.2
211,6,보문,0.8,27
212,6,안암(고대병원앞),0.9,27.9
213,6,고려대(종암),0.8,28.7
214,6,월곡(동덕여대),1.4,30.1
215,6,상월곡(한국과학기술연구원),0.8,30.9
216,6,돌곶이,0.8,31.7
217,6,석계,1,32.7
218,6,태릉입구,0.8,33.5
219,6,화랑대 (서울여대입구),0.9,34.4
220,6,봉화산(서울의료원),0.7,35.1
221,6,신내역,1.3,36.4
222,7,장암,0,0
223,7,도봉산,1.4,1.4
224,7,수락산,1.6,3
225,7,마들,1.4,4.4
226,7,노원,1.2,5.6
227,7,중계,1.1,6.7
228,7,하계,1,7.7
229,7,공릉(서울과학기술대),1.3,9
230,7,태릉입구,0.8,9.8
231,7,먹골,0.9,10.7
232,7,중화,0.9,11.6
233,7,상봉(시외버스터미널),1,12.6
234,7,면목,0.8,13.4
235,7,사가정,0.9,14.3
236,7,용마산(용마폭포공원),0.8,15.1
237,7,중곡,0.9,16
238,7,군자(능동),1.1,17.1
239,7,어린이대공원(세종대),1.1,18.2
240,7,건대입구,0.8,19
241,7,뚝섬유원지,1,20
242,7,청담,2,22
243,7,강남구청,1.1,23.1
244,7,학동,0.9,24
245,7,논현,1,25
246,7,반포,0.9,25.9
247,7,고속터미널,0.9,26.8
248,7,내방,2.2,29
249,7,이수,1,30
250,7,남성,1,31
251,7,숭실대입구(살피재),2,33
252,7,상도,0.9,33.9
253,7,장승배기,0.9,34.8
254,7,신대방삼거리,1.2,36
255,7,보라매,0.8,36.8
256,7,신풍,0.9,37.7
257,7,대림(구로구청),1.4,39.1
258,7,남구로,1.1,40.2
259,7,가산디지털단지,0.8,41
260,7,철산,1.4,42.4
261,7,광명사거리,1.3,43.7
262,7,천왕,1.7,45.4
263,7,온수(성공회대입구),1.5,46.9
264,7,까치울,2.2,49.1
265,7,부천종합운동장,1.2,50.3
266,7,춘의,0.9,51.2
267,7,신중동,1,52.2
268,7,부천시청,1.1,53.3
269,7,상동,0.9,54.2
270,7,삼산체육관,1.1,55.3
271,7,굴포천,0.9,56.2
272,7,부평구청,0.9,57.1
273,8,암사,0,0
274,8,천호(풍납토성),1.3,1.3
275,8,강동구청,0.9,2.2
276,8,몽촌토성(평화의문),1.6,3.8
277,8,잠실(송파구청),0.8,4.6
278,8,석촌,1.2,5.8
279,8,송파,0.9,6.7
280,8,가락시장,0.8,7.5
281,8,문정,0.9,8.4
282,8,장지,0.9,9.3
283,8,복정,0.9,10.2
284,8,남위례,1.5,11.7
285,8,산성,1.2,12.9
286,8,남한산성입구(성남법원검찰청),1.3,14.2
287,8,단대오거리,0.8,15
288,8,신흥,0.8,15.8
289,8,수진,0.9,16.7
290,8,모란,1,17.7
291,9,언주,0.8,0.8
292,9,선정릉,0.9,1.7
293,9,삼성중앙,0.8,2.5
294,9,봉은사,0.8,3.3
295,9,종합운동장,1.4,4.7
296,9,삼전,1.4,6.1
297,9,석촌고분,0.8,6.9
298,9,석촌,1,7.9
299,9,송파나루,0.8,8.7
300,9,한성백제,0.8,9.5
301,9,올림픽공원(한국체대),1.4,10.9
302,9,둔촌오륜,1,11.9
303,9,중앙보훈병원,1.7,13.6
