역명,노선명
4.19민주묘지,우이신설선
가능,경원선
가락시장,3호선
가락시장,8호선
가산디지털단지,7호선
가산디지털단지,경부선
가양,9호선
가오리,우이신설선
가좌,경의선
가천대,분당선
가평,경춘선
간석,경인선
갈매,경춘선
강남,2호선
강남구청,7호선
강남구청,분당선
강동,5호선
강동구청,8호선
강매,경의선
강촌,경춘선
개롱,5호선
개봉,경인선
개포동,분당선
개화,9호선
개화산,5호선
거여,5호선
건대입구,2호선
건대입구,7호선
검암,경의선
검암,공항철도 1호선
경기광주,경강선
경마공원,과천선
경찰병원,3호선
계양,경의선
계양,공항철도 1호선
고덕,5호선
고속터미널,3호선
고속터미널,7호선
고속터미널,9호선
고잔,안산선
곡산,경의선
곤지암,경강선
공덕,5호선
공덕,6호선
공덕,경의선
공덕,공항철도 1호선
공항시장,9호선
공항화물청사,공항철도 1호선
과천,과천선
관악,경부선
광명,경부선
광명사거리,7호선
광운대,경원선
구로,경부선
구로디지털단지,2호선
구룡,분당선
구리,중앙선
구반포,9호선
구산,6호선
구성,분당선
구일,경인선
구파발,3호선
국수,중앙선
국회의사당,9호선
군포,경부선
굴봉산,경춘선
굴포천,7호선
금곡,경춘선
금릉,경의선
금정,경부선
금천구청,경부선
금촌,경의선
금호,3호선
기흥,분당선
길동,5호선
길음,4호선
김유정,경춘선
김포공항,5호선
김포공항,9호선
김포공항,경의선
김포공항,공항철도 1호선
까치산,5호선
까치울,7호선
남구로,7호선
남동인더스파크,수인선
남성,7호선
남영,경부선
남춘천,경춘선
남태령,4호선
내방,7호선
노들,9호선
노량진,9호선
노량진,경부선
노원,4호선
노원,7호선
녹번,3호선
녹사평(용산구청),6호선
녹양,경원선
녹천,경원선
논현,7호선
능곡,경의선
단대오거리,8호선
달월,수인선
답십리,5호선
당고개,4호선
당산,2호선
당산,9호선
당정,경부선
대곡,일산선
대공원,과천선
대모산입구,분당선
대방,경부선
대성리,경춘선
대야미,안산선
대청,3호선
대치,3호선
대화,일산선
덕계,경원선
덕소,중앙선
덕정,경원선
도곡,3호선
도곡,분당선
도농,중앙선
도림천,2호선
도봉,경원선
도봉산,7호선
도봉산,경원선
도심,중앙선
도원,경인선
도화,경인선
독립문,3호선
독바위,6호선
독산,경부선
돌곶이,6호선
동대문,1호선
동대문,4호선
동대입구,3호선
동두천,경원선
동두천 중앙,경원선
동두천중앙,경원선
동묘앞,1호선
동묘앞,6호선
동암,경인선
동인천,경인선
두정,경부선
둔촌동,5호선
둔촌오륜,9호선2~3단계
둔촌오륜,9호선2단계
등촌,9호선
디지털미디어시티,6호선
디지털미디어시티,경의선
디지털미디어시티,공항철도 1호선
뚝섬,2호선
뚝섬유원지,7호선
마곡,5호선
마두,일산선
마들,7호선
마석,경춘선
마장,5호선
마천,5호선
마포,5호선
마포구청,6호선
망우,중앙선
망원,6호선
망월사,경원선
망포,분당선
매교,분당선
매봉,3호선
매탄권선,분당선
먹골,7호선
면목,7호선
명동,4호선
명일,5호선
명학,경부선
모란,8호선
모란,분당선
목동,5호선
무악재,3호선
문래,2호선
문산,경의선
문정,8호선
미금,분당선
미아사거리,4호선
반월,안산선
반포,7호선
발산,5호선
방배,2호선
방이,5호선
방학,경원선
방화,5호선
배방,장항선
백마,경의선
백석,일산선
백양리,경춘선
백운,경인선
버티고개,6호선
범계,과천선
별내,경춘선
병점,경부선
보라매,7호선
보문,6호선
보문,우이신설선
보산,경원선
보정,분당선
복정,8호선
복정,분당선
봉명,장항선
봉은사,9호선2~3단계
봉은사,9호선2단계
봉천,2호선
봉화산(서울의료원),6호선
부개,경인선
부발,경강선
부천,경인선
부천시청,7호선
부천종합운동장,7호선
부평,경인선
부평구청,7호선
북한산보국문,우이신설선
북한산우이,우이신설선
불광,3호선
불광,6호선
사가정,7호선
사당,2호선
사당,4호선
사릉,경춘선
사평,9호선
산본,안산선
산성,8호선
삼각지,4호선
삼각지,6호선
삼동,경강선
삼산체육관,7호선
삼성중앙,9호선2~3단계
삼성중앙,9호선2단계
삼송,일산선
삼양,우이신설선
삼양사거리,우이신설선
삼전,9호선2~3단계
삼전,9호선2단계
상갈,분당선
상계,4호선
상도,7호선
상동,7호선
상록수,안산선
상수,6호선
상왕십리,2호선
상일동,5호선
상천,경춘선
샛강,9호선
서강대,경의선
서대문,5호선
서동탄,경부선
서빙고,경원선
서울숲,분당선
서울역,1호선
서울역,4호선
서울역,경부선
서울역,경의선
서울역,공항철도 1호선
서정리,경부선
서초,2호선
서현,분당선
석계,6호선
석계,경원선
석수,경부선
석촌,8호선
석촌,9호선2~3단계
석촌,9호선2단계
석촌고분,9호선2~3단계
석촌고분,9호선2단계
선릉,2호선
선릉,분당선
선바위,과천선
선유도,9호선
선정릉,9호선2~3단계
선정릉,9호선2단계
선정릉,분당선
성균관대,경부선
성수,2호선
성환,경부선
세류,경부선
세마,경부선
세종대왕릉,경강선
소래포구,수인선
소사,경인선
소요산,경원선
솔밭공원,우이신설선
솔샘,우이신설선
송내,경인선
송도,수인선
송정,5호선
송탄,경부선
송파,8호선
송파나루,9호선2~3단계
송파나루,9호선2단계
수내,분당선
수락산,7호선
수리산,안산선
수색,경의선
수서,3호선
수서,분당선
수원,경부선
수원,분당선
수원시청,분당선
수유(강북구청),4호선
수진,8호선
숭의,수인선
시청,1호선
시청,2호선
신갈,분당선
신금호,5호선
신길,5호선
신길,경부선
신길온천,안산선
신내,6호선
신내,경춘선
신논현,9호선
신답,2호선
신당,2호선
신당,6호선
신대방,2호선
신대방삼거리,7호선
신도림,2호선
신도림,경부선
신둔도예촌,경강선
신림,2호선
신목동,9호선
신반포,9호선
신방화,9호선
신사,3호선
신설동,1호선
신설동,2호선
신설동,우이신설선
신용산,4호선
신원,중앙선
신이문,경원선
신정네거리,2호선
신중동,7호선
신천,2호선
신촌,2호선
신촌,경의선
신포,수인선
신풍,7호선
신흥,8호선
쌍문,4호선
쌍용(나사렛대),장항선
쌍용동,장항선
아산,장항선
아신,중앙선
아현,2호선
안국,3호선
안산,안산선
안양,경부선
암사,8호선
압구정,3호선
압구정로데오,분당선
애오개,5호선
야당,경의선
야탑,분당선
약수,3호선
약수,6호선
양수,중앙선
양원,중앙선
양정,중앙선
양주,경원선
양천구청,2호선
양천향교,9호선
양평,5호선
양평,중앙선
언주,9호선2~3단계
언주,9호선2단계
여의나루,5호선
여의도,5호선
여의도,9호선
여주,경강선
역곡,경인선
역삼,2호선
역촌,6호선
연수,수인선
연신내,3호선
연신내,6호선
염창,9호선
영등포,경부선
영등포구청,2호선
영등포구청,5호선
영등포시장,5호선
영종,공항철도 1호선
영통,분당선
오금,3호선
오금,5호선
오류동,경인선
오리,분당선
오빈,중앙선
오산,경부선
오산대,경부선
오이도,안산선
옥수,3호선
옥수,경원선
온양온천,장항선
외대앞,경원선
용답,2호선
용문,중앙선
용산,경부선
우장산,5호선
운길산,중앙선
운서,공항철도 1호선
운정,경의선
원당,일산선
원덕,중앙선
원인재,수인선
원흥,일산선
월계,경원선
월곶,수인선
월롱,경의선
을지로3가,2호선
을지로3가,3호선
을지로4가,2호선
을지로4가,5호선
을지로입구,2호선
응봉,경원선
응암,6호선
의왕,경부선
의정부,경원선
이대,2호선
이매,경강선
이매,분당선
이수,7호선
이천,경강선
이태원,6호선
인덕원,과천선
인천,경인선
인천,수인선
인천공항1터미널,공항철도 1호선
인천공항2터미널,공항철도 1호선
인천국제공항,공항철도 1호선
인천논현,수인선
인하대,수인선
일산,경의선
일원,3호선
임진강,경의선
잠실나루,2호선
잠실새내,2호선
잠원,3호선
장승배기,7호선
장암,7호선
장지,8호선
장한평,5호선
정릉,우이신설선
정발산,일산선
정부과천청사,과천선
정왕,안산선
정자,분당선
제기동,1호선
제물포,경인선
종각,1호선
