역명,2015-01-03,2015-01-04,2015-01-05,2015-01-06,2015-01-07,2015-01-08,2015-01-09,2015-01-10,2015-01-11,2015-01-12,2015-01-13,2015-01-14,2015-01-15,2015-01-16,2015-01-17,2015-01-18,2015-01-19,2015-01-20,2015-01-21,2015-01-22,2015-01-23,2015-01-24,2015-01-25,2015-01-26,2015-01-27,2015-01-28,2015-01-29,2015-01-30,2015-01-31,2015-02-01,2015-02-02,2015-02-03,2015-02-04,2015-02-05,2015-02-06,2015-02-07,2015-02-08,2015-02-09,2015-02-10,2015-02-11,2015-02-12,2015-02-13,2015-02-14,2015-02-15,2015-02-16,2015-02-17,2015-02-18,2015-02-19,2015-02-20,2015-02-21,2015-02-22,2015-02-23,2015-02-24,2015-02-25,2015-02-26,2015-02-27,2015-02-28,2015-03-01,2015-03-02,2015-03-03,2015-03-04,2015-03-05,2015-03-06,2015-03-07,2015-03-08,2015-03-09,2015-03-10,2015-03-11,2015-03-12,2015-03-13,2015-03-14,2015-03-15,2015-03-16,2015-03-17,2015-03-18,2015-03-19,2015-03-20,2015-03-21,2015-03-22,2015-03-23,2015-03-24,2015-03-25,2015-03-26,2015-03-27,2016-01-02,2016-01-03,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-09,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-17,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-11,2016-03-12,2016-03-13,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-25
가락시장,22557.0,15458.0,36957.0,36972.0,36117.0,35891.0,38715.0,26025.0,15417.0,36688.0,37530.0,37200.0,37736.0,38017.0,25382.0,16423.0,37071.0,37622.0,37261.0,37081.0,38231.0,26280.0,15170.0,36147.0,36943.0,36301.0,36989.0,37792.0,24340.0,16105.0,36517.0,37290.0,37297.0,37621.0,39543.0,26843.0,14610.0,36702.0,38839.0,39112.0,39283.0,39273.0,27737.0,18315.0,37383.0,37653.0,13956.0,7488.0,11414.0,15485.0,13836.0,35664.0,36813.0,37712.0,37270.0,38036.0,26131.0,16257.0,36863.0,36215.0,35787.0,36346.0,37967.0,26253.0,16185.0,36722.0,35703.0,36618.0,38043.0,39656.0,27148.0,18548.0,37077.0,37928.0,36305.0,37904.0,39384.0,26742.0,15929.0,37266.0,37251.0,37846.0,37922.0,38982.0,18689.0,15126.0,35829.0,36443.0,36671.0,36406.0,37769.0,24692.0,15103.0,36284.0,36491.0,36641.0,36824.0,38966.0,25487.0,16260.0,35690.0,32661.0,34001.0,35432.0,37496.0,22328.0,11343.0,33899.0,36893.0,37734.0,37832.0,39170.0,26144.0,16438.0,37206.0,37764.0,39514.0,39132.0,39358.0,22028.0,11535.0,7201.0,11397.0,16052.0,33808.0,34624.0,23223.0,14772.0,35756.0,35941.0,36926.0,37469.0,38384.0,25751.0,16027.0,35859.0,36872.0,36704.0,37273.0,38849.0,25031.0,15264.0,36154.0,20288.0,37326.0,38039.0,38613.0,22902.0,16397.0,37226.0,37463.0,37596.0,37608.0,39068.0,26172.0,15088.0,38007.0,37845.0,38825.0,38140.0,39887.0,26954.0,18152.0,37913.0,38192.0,37918.0,38150.0,39375.0
가산디지털단지,56545.0,42733.0,151797.0,150609.0,149060.0,148164.0,153787.0,65034.0,45495.0,150423.0,151585.0,151357.0,150253.0,151934.0,62985.0,44865.0,153706.0,152009.0,151393.0,151516.0,153228.0,63194.0,43215.0,151625.0,151987.0,149196.0,149337.0,150978.0,61697.0,45545.0,149845.0,151525.0,151219.0,149344.0,152441.0,64739.0,43034.0,151113.0,153978.0,152669.0,151140.0,154496.0,67325.0,48598.0,146694.0,135566.0,34542.0,24846.0,45429.0,48342.0,47239.0,151669.0,155714.0,155839.0,154100.0,154327.0,70203.0,48316.0,149406.0,147684.0,147628.0,148122.0,151413.0,67788.0,50708.0,148666.0,143259.0,147591.0,149511.0,152644.0,70353.0,51418.0,151603.0,150629.0,147350.0,151041.0,152698.0,73293.0,54509.0,150022.0,150778.0,151246.0,150766.0,153057.0,53656.0,41887.0,149120.0,149610.0,148738.0,149219.0,150997.0,62617.0,44233.0,146608.0,146049.0,147313.0,150143.0,152846.0,63128.0,44497.0,149319.0,141827.0,145020.0,147237.0,148954.0,57955.0,33988.0,145374.0,150968.0,149919.0,149829.0,153588.0,65524.0,45271.0,148155.0,149239.0,149058.0,150266.0,146440.0,50014.0,34390.0,27482.0,43727.0,52299.0,140809.0,143356.0,62909.0,43779.0,151228.0,153047.0,153186.0,151661.0,152853.0,66369.0,45073.0,151429.0,150964.0,149458.0,148843.0,152510.0,64976.0,45147.0,135766.0,51181.0,145568.0,148376.0,151382.0,55690.0,49423.0,149833.0,149397.0,148139.0,148013.0,151913.0,66378.0,47233.0,150304.0,149864.0,148857.0,148500.0,151117.0,68545.0,51784.0,150024.0,150913.0,150299.0,148613.0,150179.0
가양,26938.0,22874.0,42754.0,42095.0,41421.0,41621.0,44645.0,31199.0,24344.0,42489.0,42327.0,41982.0,42744.0,44223.0,30575.0,23593.0,42990.0,42486.0,42106.0,42101.0,44347.0,30902.0,23189.0,42410.0,42912.0,41579.0,42244.0,44355.0,30088.0,24311.0,43624.0,43632.0,43908.0,44038.0,45734.0,31490.0,23107.0,42662.0,44053.0,43788.0,44350.0,46138.0,32378.0,24570.0,42276.0,41179.0,17083.0,15390.0,17849.0,23176.0,21295.0,42178.0,44414.0,44881.0,44164.0,46421.0,34871.0,25977.0,45066.0,44662.0,44437.0,44532.0,47802.0,34499.0,27042.0,45218.0,43981.0,44619.0,45059.0,48194.0,34868.0,28442.0,45988.0,45280.0,44328.0,45685.0,48444.0,35105.0,26822.0,45648.0,45470.0,45749.0,45561.0,47890.0,25995.0,24907.0,43808.0,43919.0,43065.0,44863.0,44342.0,33134.0,24588.0,43500.0,43318.0,43272.0,44838.0,45133.0,34190.0,26723.0,43567.0,40091.0,41718.0,43691.0,43686.0,30764.0,19784.0,40917.0,43649.0,43580.0,44638.0,44528.0,33393.0,25799.0,43137.0,44037.0,44464.0,45565.0,44398.0,25411.0,17076.0,15861.0,18119.0,23132.0,41869.0,41519.0,32250.0,25902.0,43376.0,44154.0,44182.0,46298.0,45159.0,35082.0,26391.0,43798.0,44827.0,43834.0,45872.0,45927.0,35623.0,27937.0,42999.0,24730.0,45499.0,46263.0,46497.0,31802.0,27279.0,45142.0,45657.0,45530.0,46293.0,46755.0,34354.0,26162.0,46140.0,46011.0,46070.0,46758.0,47692.0,37193.0,29729.0,46159.0,46037.0,45535.0,46490.0,47245.0
가좌,3833.0,3175.0,4928.0,4669.0,4671.0,4888.0,5052.0,4258.0,3233.0,4798.0,5003.0,5015.0,5008.0,5006.0,4363.0,3266.0,5005.0,5073.0,5156.0,4980.0,5149.0,4985.0,3467.0,4983.0,5027.0,5076.0,5170.0,5147.0,4392.0,3180.0,5173.0,5309.0,5500.0,5558.0,5558.0,4852.0,3171.0,5064.0,5579.0,5792.0,5393.0,5411.0,4931.0,3621.0,4937.0,4805.0,2535.0,2252.0,2667.0,3162.0,3065.0,5178.0,5591.0,5738.0,5546.0,5884.0,5636.0,3878.0,6185.0,5990.0,6134.0,6189.0,6311.0,5087.0,4010.0,6128.0,6068.0,6219.0,6175.0,6512.0,5379.0,4144.0,6455.0,6374.0,6164.0,6532.0,6453.0,5528.0,3855.0,6401.0,6563.0,6850.0,6684.0,6628.0,5474.0,4907.0,8615.0,8271.0,8332.0,8169.0,8576.0,6600.0,4915.0,8229.0,8114.0,8286.0,8381.0,8655.0,7083.0,5112.0,8184.0,6984.0,7479.0,8133.0,8170.0,6137.0,3435.0,7424.0,8056.0,8510.0,8614.0,8589.0,7250.0,5269.0,8173.0,8419.0,8881.0,8754.0,8597.0,5185.0,3390.0,3253.0,3979.0,4806.0,7996.0,8017.0,6543.0,4930.0,8262.0,8428.0,9022.0,9040.0,8944.0,7358.0,5332.0,8885.0,8951.0,8719.0,8874.0,9391.0,7444.0,5228.0,8615.0,5633.0,9685.0,9821.0,9693.0,6435.0,5458.0,9756.0,9909.0,9807.0,9846.0,9763.0,7128.0,5285.0,10013.0,9908.0,9996.0,9946.0,10073.0,8096.0,6101.0,10048.0,10179.0,9986.0,9992.0,10158.0
강남,168824.0,102679.0,269515.0,271254.0,270431.0,270587.0,292960.0,202227.0,117451.0,266810.0,268923.0,272774.0,272123.0,287200.0,202533.0,114462.0,263824.0,266698.0,267548.0,264511.0,284525.0,199048.0,111606.0,256502.0,260797.0,258777.0,257833.0,275166.0,190377.0,107491.0,255420.0,258121.0,261168.0,258197.0,276980.0,198924.0,108656.0,259532.0,260803.0,264856.0,263905.0,278367.0,195304.0,114311.0,254435.0,240514.0,76727.0,34960.0,84191.0,120882.0,103179.0,255900.0,265737.0,268517.0,268387.0,278228.0,213037.0,117197.0,225545.0,224204.0,235609.0,239252.0,263537.0,212354.0,121127.0,234361.0,230811.0,238734.0,241594.0,265592.0,209264.0,121491.0,232108.0,234782.0,231768.0,240898.0,264337.0,210203.0,121094.0,228075.0,232865.0,239312.0,238281.0,261559.0,135990.0,95759.0,254731.0,256237.0,258350.0,258561.0,277073.0,193912.0,109317.0,254098.0,254758.0,260413.0,259519.0,273993.0,190392.0,105642.0,247267.0,234546.0,246188.0,248656.0,266410.0,178395.0,84976.0,238125.0,247082.0,254417.0,249215.0,261745.0,191039.0,107810.0,235363.0,243379.0,246427.0,244670.0,249148.0,122587.0,54327.0,33170.0,79949.0,122052.0,235324.0,254099.0,188974.0,111443.0,244037.0,245648.0,252783.0,251382.0,264569.0,196810.0,114171.0,238267.0,243554.0,244795.0,246849.0,262309.0,191641.0,109815.0,235191.0,112003.0,211921.0,222186.0,244087.0,174000.0,110606.0,223797.0,225775.0,225704.0,227187.0,249110.0,193266.0,109313.0,225760.0,223812.0,226920.0,227608.0,248985.0,200793.0,116812.0,218731.0,220461.0,223995.0,224537.0,248605.0
강남구청,36552.0,23527.0,62649.0,65039.0,65038.0,64387.0,67628.0,45600.0,27374.0,61949.0,64805.0,64802.0,65607.0,66849.0,47664.0,27300.0,62644.0,64582.0,65188.0,64571.0,67174.0,46167.0,27331.0,62118.0,63876.0,64108.0,64363.0,65938.0,41624.0,26636.0,61775.0,64848.0,64504.0,64936.0,68283.0,48988.0,27642.0,63593.0,66032.0,65703.0,67290.0,69077.0,45869.0,25760.0,61703.0,57166.0,10818.0,7106.0,11231.0,20455.0,20340.0,61494.0,65847.0,66999.0,67077.0,68817.0,48324.0,26967.0,62681.0,64926.0,64625.0,64917.0,67384.0,47932.0,27975.0,62859.0,63978.0,65407.0,65461.0,67237.0,47427.0,29231.0,63121.0,64935.0,65827.0,67306.0,68359.0,48848.0,28514.0,62759.0,65297.0,65595.0,65820.0,67680.0,24352.0,18869.0,59860.0,60966.0,61629.0,61598.0,62842.0,40417.0,22659.0,59798.0,61998.0,62844.0,61888.0,62490.0,40840.0,23879.0,58608.0,57149.0,59473.0,60229.0,60882.0,37949.0,17724.0,56700.0,61007.0,61856.0,62508.0,63470.0,41880.0,22172.0,58829.0,61711.0,61770.0,61799.0,61042.0,23719.0,9410.0,6297.0,10230.0,19249.0,57317.0,59774.0,41064.0,21821.0,59600.0,62408.0,63538.0,62520.0,63158.0,44649.0,24530.0,59538.0,63040.0,62642.0,63131.0,65164.0,44470.0,25076.0,57125.0,24254.0,61852.0,62296.0,63376.0,41175.0,24733.0,61020.0,62656.0,62402.0,62187.0,63174.0,42180.0,23415.0,61493.0,61552.0,62221.0,62161.0,64914.0,42688.0,25245.0,60178.0,62621.0,62256.0,63182.0,64738.0
강동,26944.0,21042.0,40602.0,40803.0,40136.0,40428.0,40741.0,33127.0,22331.0,40408.0,40815.0,40845.0,41030.0,40528.0,33596.0,22761.0,40728.0,40720.0,40545.0,40581.0,40982.0,32980.0,22095.0,39701.0,40768.0,39806.0,40442.0,40578.0,30458.0,20670.0,39861.0,40243.0,41746.0,40594.0,41330.0,34941.0,22320.0,40637.0,40611.0,40168.0,40673.0,40314.0,32130.0,21200.0,38920.0,35941.0,14182.0,14500.0,16384.0,20570.0,19128.0,40275.0,42073.0,42324.0,41613.0,41448.0,36780.0,22096.0,42316.0,41915.0,42266.0,41917.0,42547.0,35003.0,24415.0,42691.0,42092.0,42593.0,42765.0,43013.0,37052.0,25123.0,42482.0,42765.0,41932.0,42677.0,43055.0,36160.0,24569.0,42154.0,42424.0,42648.0,42699.0,42948.0,22927.0,19476.0,39217.0,39291.0,39144.0,38867.0,39654.0,32940.0,22072.0,39056.0,39345.0,39564.0,39628.0,40145.0,32090.0,21916.0,38709.0,36600.0,37631.0,38268.0,39030.0,29755.0,17165.0,36812.0,38984.0,39153.0,39243.0,39871.0,31255.0,20840.0,38311.0,38952.0,39075.0,39498.0,38106.0,21362.0,13859.0,13343.0,15909.0,19908.0,37183.0,37742.0,27617.0,21132.0,38597.0,40053.0,39911.0,40550.0,40286.0,35149.0,22848.0,40184.0,40564.0,39369.0,40364.0,40537.0,35812.0,23191.0,38813.0,23146.0,40947.0,41601.0,41692.0,29687.0,22989.0,41505.0,42048.0,41340.0,41807.0,41983.0,32879.0,22266.0,41820.0,42094.0,41294.0,41782.0,42205.0,35061.0,24073.0,41905.0,41650.0,41745.0,41654.0,42173.0
강동구청,14311.0,11266.0,26444.0,26062.0,25781.0,25370.0,26321.0,16107.0,11663.0,25499.0,25542.0,25524.0,25597.0,25901.0,15815.0,11691.0,25995.0,25984.0,25696.0,25673.0,25959.0,15950.0,11017.0,25399.0,25619.0,25640.0,25095.0,25329.0,15209.0,10691.0,25266.0,25467.0,25903.0,25558.0,25981.0,16524.0,10904.0,25267.0,26016.0,25622.0,25222.0,25622.0,16524.0,11369.0,24615.0,22906.0,7012.0,5635.0,7729.0,10581.0,10065.0,25182.0,26159.0,26157.0,25990.0,26176.0,16891.0,11697.0,25896.0,26431.0,26063.0,25995.0,26207.0,17051.0,11790.0,26350.0,26085.0,26325.0,26377.0,26774.0,18406.0,12358.0,26317.0,26667.0,26349.0,26551.0,26893.0,16931.0,12057.0,26229.0,26650.0,26684.0,26132.0,26831.0,12563.0,10324.0,24801.0,25019.0,24686.0,24877.0,24977.0,15792.0,10920.0,24534.0,24437.0,25171.0,24846.0,25009.0,15612.0,10739.0,24471.0,22617.0,23917.0,23873.0,24316.0,14055.0,8263.0,23423.0,25139.0,25121.0,24088.0,25273.0,14475.0,10581.0,24776.0,24289.0,25023.0,24795.0,24406.0,11204.0,6972.0,5494.0,7707.0,10026.0,22732.0,23559.0,14278.0,10665.0,24454.0,24511.0,25139.0,24672.0,25081.0,15972.0,10871.0,24662.0,24803.0,25458.0,25326.0,25246.0,15574.0,11181.0,23921.0,11424.0,25548.0,25354.0,25937.0,14008.0,10851.0,25521.0,25840.0,26247.0,25794.0,25884.0,15512.0,10797.0,25674.0,25132.0,25604.0,25809.0,26114.0,16135.0,11471.0,25660.0,25065.0,25744.0,25538.0,26045.0
강변,94660.0,83719.0,106032.0,99632.0,99503.0,101065.0,116729.0,112277.0,90035.0,104750.0,100657.0,102534.0,105095.0,116724.0,115043.0,89842.0,104712.0,101365.0,100404.0,101765.0,118616.0,112933.0,86874.0,104684.0,98988.0,99279.0,101123.0,112878.0,106656.0,84256.0,99712.0,96772.0,97022.0,98973.0,111976.0,110653.0,80172.0,99293.0,98774.0,102204.0,105623.0,114917.0,108168.0,82469.0,109933.0,129445.0,79947.0,59109.0,77154.0,86268.0,85681.0,118317.0,115701.0,115509.0,113894.0,124662.0,123420.0,90782.0,104059.0,96354.0,96414.0,101089.0,121348.0,116876.0,97646.0,103795.0,94636.0,97487.0,101888.0,123930.0,123930.0,100362.0,105793.0,99503.0,94528.0,102686.0,124066.0,121027.0,95101.0,104257.0,97270.0,100247.0,102955.0,123431.0,86680.0,84565.0,102309.0,96289.0,96812.0,98834.0,110302.0,106181.0,80182.0,100162.0,95185.0,97239.0,99048.0,111948.0,106645.0,82640.0,97535.0,85241.0,90047.0,94009.0,106913.0,96669.0,64640.0,92118.0,93374.0,97927.0,98724.0,107359.0,102367.0,78482.0,95043.0,92114.0,94430.0,97379.0,113318.0,88230.0,66031.0,56491.0,73354.0,82694.0,102982.0,104629.0,97436.0,80232.0,102635.0,99853.0,104245.0,106780.0,117967.0,115936.0,88746.0,106448.0,102893.0,103397.0,106207.0,120232.0,117923.0,85797.0,106882.0,76367.0,95418.0,97091.0,113634.0,96061.0,86768.0,101519.0,93939.0,94462.0,97729.0,116728.0,107965.0,88724.0,102141.0,95500.0,95603.0,98551.0,119127.0,117141.0,97489.0,100827.0,93624.0,95090.0,98115.0,117632.0
개롱,9999.0,7594.0,15951.0,16115.0,16312.0,15897.0,16133.0,12072.0,7891.0,15982.0,15696.0,16299.0,16113.0,15847.0,11305.0,8118.0,16126.0,16099.0,16245.0,15939.0,17476.0,12288.0,7983.0,15566.0,15241.0,15803.0,15562.0,15862.0,10430.0,7699.0,15676.0,16311.0,16497.0,16308.0,16397.0,11205.0,7832.0,16283.0,16360.0,16933.0,16256.0,16254.0,11463.0,8260.0,14985.0,14135.0,4701.0,4342.0,5431.0,7464.0,7227.0,16042.0,15991.0,17361.0,16498.0,16278.0,11806.0,7678.0,16902.0,16627.0,16877.0,16573.0,16782.0,11879.0,8750.0,16588.0,15929.0,17307.0,16797.0,17190.0,12614.0,8543.0,16553.0,16683.0,16821.0,16864.0,17104.0,12290.0,8514.0,16561.0,16314.0,17025.0,16752.0,17206.0,8607.0,7381.0,16232.0,16052.0,16054.0,16073.0,15943.0,10749.0,7705.0,15781.0,15240.0,16341.0,16188.0,16330.0,10867.0,7788.0,15706.0,14235.0,15113.0,15471.0,16610.0,10230.0,6068.0,14563.0,15124.0,15662.0,15705.0,15685.0,10847.0,7520.0,15452.0,15882.0,16227.0,16470.0,15410.0,8337.0,4858.0,3998.0,5084.0,6934.0,15070.0,15198.0,10493.0,7876.0,15917.0,16049.0,16472.0,16322.0,16013.0,12932.0,8105.0,15970.0,16033.0,15977.0,16198.0,16107.0,11348.0,7804.0,14913.0,7624.0,16886.0,16549.0,16794.0,10760.0,9243.0,16507.0,16417.0,17022.0,16509.0,16785.0,11414.0,7684.0,16634.0,16473.0,16516.0,16406.0,16684.0,12053.0,8841.0,16382.0,16123.0,16839.0,16301.0,16958.0
