역명,2017-11-02,2017-11-03,2017-11-04,2017-11-05,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-11,2017-11-12,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-18,2017-11-19,2017-11-20,2017-11-21,2017-11-22,2017-11-23,2017-11-24,2017-11-25,2017-11-26,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2018-11-01,2018-11-02,2018-11-03,2018-11-04,2018-11-05,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-10,2018-11-11,2018-11-12,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-17,2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30
대모산입구,7070.0,7163.0,5363.0,3791.0,7159.0,7172.0,7313.0,7699.0,7300.0,5262.0,3684.0,7092.0,7305.0,7269.0,6987.0,7019.0,5090.0,3399.0,6947.0,7021.0,7072.0,6972.0,7499.0,4528.0,3770.0,7104.0,7293.0,7408.0,6905.0,7073.0,7186.0,7197.0,4718.0,4080.0,7119.0,7233.0,7245.0,7087.0,7557.0,5063.0,3552.0,7214.0,7263.0,7437.0,7160.0,7405.0,4892.0,4241.0,7407.0,7262.0,7257.0,7252.0,7175.0,5603.0,4356.0,7241.0,7388.0,7361.0,7363.0,7267.0
대방,35363.0,36318.0,27938.0,19740.0,35526.0,36459.0,36500.0,35688.0,35776.0,30498.0,19501.0,35150.0,35721.0,35842.0,35833.0,36051.0,26126.0,18173.0,34469.0,35483.0,36646.0,35678.0,36617.0,27280.0,18931.0,35375.0,36149.0,36145.0,35573.0,35832.0,34643.0,35350.0,26480.0,19762.0,34348.0,35232.0,34267.0,33498.0,34876.0,28038.0,18749.0,34649.0,35753.0,35368.0,35426.0,34978.0,27578.0,19269.0,34485.0,34928.0,35115.0,36012.0,35370.0,26815.0,18549.0,34547.0,34641.0,35802.0,34807.0,35533.0
대청,22959.0,23433.0,14263.0,10562.0,22321.0,23031.0,22721.0,22839.0,23812.0,15353.0,10210.0,22522.0,22278.0,23615.0,20909.0,22351.0,14838.0,9600.0,22185.0,22152.0,22604.0,22284.0,24162.0,14430.0,12234.0,22857.0,22938.0,22993.0,22754.0,22616.0,22491.0,22909.0,15160.0,10821.0,22258.0,23395.0,22234.0,22986.0,23871.0,14500.0,10223.0,22112.0,22483.0,23684.0,22678.0,23505.0,14343.0,9812.0,22248.0,22505.0,22539.0,22878.0,23130.0,14486.0,9740.0,22221.0,22219.0,25041.0,22428.0,23461.0
대치,27151.0,28046.0,23163.0,15732.0,26863.0,26998.0,27226.0,27056.0,28869.0,22322.0,14746.0,26497.0,27089.0,27088.0,25790.0,27570.0,20684.0,13425.0,26175.0,26747.0,26790.0,26665.0,31473.0,23126.0,15251.0,30303.0,31044.0,30010.0,29494.0,29949.0,27913.0,29502.0,24289.0,16863.0,28080.0,27345.0,27170.0,26883.0,28662.0,22372.0,14628.0,27713.0,27429.0,27575.0,26881.0,31869.0,22836.0,14930.0,30212.0,30839.0,30744.0,30795.0,30918.0,22721.0,13659.0,28079.0,27654.0,29046.0,27490.0,29892.0
대흥,21568.0,21554.0,14352.0,9663.0,21021.0,21671.0,21963.0,21888.0,21318.0,14333.0,8912.0,21105.0,21492.0,22881.0,20661.0,20342.0,13131.0,8370.0,21044.0,21502.0,21750.0,21215.0,20803.0,15856.0,12557.0,21216.0,21646.0,22163.0,21974.0,21593.0,23000.0,22761.0,15179.0,9969.0,22625.0,23125.0,22976.0,22665.0,23486.0,14510.0,9450.0,22387.0,22897.0,23639.0,23238.0,21646.0,17268.0,14476.0,22299.0,22789.0,22384.0,23114.0,22323.0,14740.0,9436.0,22046.0,22512.0,23166.0,23108.0,22868.0
도곡,32111.0,31717.0,22407.0,14234.0,31438.0,31442.0,31353.0,31823.0,32723.0,23580.0,14084.0,31613.0,31861.0,32575.0,29529.0,31695.0,22220.0,13497.0,31597.0,31382.0,31836.0,32763.0,32780.0,24012.0,14142.0,32251.0,32685.0,32142.0,31363.0,32799.0,28890.0,29843.0,20052.0,13439.0,29534.0,29357.0,28313.0,28768.0,30611.0,21195.0,12262.0,29583.0,29371.0,30041.0,30256.0,30229.0,21066.0,12141.0,29340.0,29019.0,29111.0,29944.0,30016.0,21212.0,12563.0,29687.0,29432.0,29673.0,28967.0,30566.0
도림천,2807.0,2937.0,1610.0,1005.0,2865.0,2849.0,2885.0,2812.0,2907.0,1482.0,907.0,2951.0,2847.0,3385.0,2261.0,2820.0,1463.0,852.0,2947.0,2883.0,3047.0,3301.0,3011.0,1571.0,957.0,2932.0,2978.0,2969.0,2984.0,2991.0,2993.0,2996.0,1726.0,1000.0,2968.0,3066.0,2956.0,3091.0,3040.0,1620.0,960.0,2976.0,3089.0,3444.0,3356.0,2966.0,1603.0,938.0,2982.0,3058.0,2987.0,3118.0,3073.0,1551.0,988.0,3060.0,3133.0,3050.0,2985.0,2956.0
도봉,14771.0,15048.0,11529.0,9234.0,15137.0,15008.0,15056.0,15140.0,14785.0,11204.0,8971.0,14729.0,15471.0,14810.0,14990.0,14528.0,10413.0,8032.0,14278.0,15042.0,15082.0,14476.0,14981.0,10375.0,8577.0,14585.0,15413.0,15336.0,14855.0,14485.0,14487.0,14189.0,11149.0,8829.0,14097.0,14498.0,14382.0,13671.0,14695.0,10735.0,8451.0,14202.0,14652.0,14653.0,14611.0,14385.0,10583.0,8139.0,13929.0,14548.0,14205.0,14423.0,14312.0,10069.0,8286.0,14022.0,14370.0,14296.0,14512.0,14135.0
도봉산,36749.0,36776.0,39353.0,37417.0,38266.0,37935.0,38474.0,38710.0,36373.0,36641.0,33991.0,36078.0,37380.0,37412.0,35641.0,34737.0,31484.0,26389.0,35065.0,36971.0,36243.0,36252.0,36247.0,29762.0,28081.0,36439.0,37143.0,37352.0,35733.0,35528.0,40806.0,40723.0,42021.0,39838.0,39513.0,39758.0,36257.0,33890.0,37974.0,35381.0,31375.0,39003.0,39672.0,39654.0,39772.0,38159.0,34522.0,31283.0,37423.0,38493.0,36130.0,38259.0,37383.0,29832.0,29110.0,37340.0,36811.0,37979.0,37545.0,38500.0
독립문,18533.0,19606.0,18288.0,12782.0,18279.0,19927.0,20225.0,19161.0,19447.0,18160.0,13506.0,17703.0,18908.0,19831.0,17447.0,20855.0,15727.0,10589.0,17579.0,18050.0,18547.0,17870.0,19373.0,15629.0,11212.0,17793.0,18562.0,18773.0,19097.0,18589.0,19166.0,20216.0,19488.0,13310.0,18356.0,19161.0,18602.0,17523.0,19439.0,19180.0,12297.0,18714.0,18782.0,19942.0,19241.0,19857.0,19561.0,11878.0,17699.0,19665.0,18217.0,18781.0,19031.0,15514.0,11657.0,17777.0,18375.0,20127.0,18890.0,19711.0
독바위,6620.0,6728.0,6026.0,4455.0,6772.0,6845.0,6943.0,6758.0,6865.0,5535.0,4341.0,6633.0,6811.0,6716.0,6588.0,6840.0,5189.0,3866.0,6607.0,6630.0,6540.0,6683.0,6940.0,5268.0,4335.0,6684.0,6609.0,6616.0,6736.0,6552.0,6700.0,6991.0,5646.0,4544.0,6586.0,6704.0,6979.0,6870.0,6870.0,5770.0,4205.0,6703.0,6775.0,6896.0,6768.0,6692.0,5144.0,4163.0,6695.0,6919.0,6704.0,6838.0,6805.0,5100.0,4339.0,6557.0,6625.0,6792.0,6759.0,6752.0
돌곶이,20381.0,21017.0,15254.0,11549.0,20486.0,20612.0,20839.0,20622.0,21090.0,15186.0,11284.0,20175.0,20499.0,20897.0,20298.0,20796.0,15498.0,11035.0,20276.0,20362.0,21122.0,20162.0,21154.0,14625.0,10914.0,20530.0,20659.0,21067.0,20545.0,20140.0,19766.0,19695.0,14835.0,11397.0,19526.0,19528.0,19633.0,19602.0,19737.0,13928.0,10237.0,19496.0,19417.0,19695.0,19563.0,19455.0,14102.0,10099.0,19412.0,19635.0,19712.0,20208.0,19820.0,14633.0,10613.0,19582.0,19270.0,20257.0,19477.0,19864.0
동대문,93855.0,101353.0,96828.0,59047.0,92117.0,93260.0,93124.0,93136.0,95472.0,90113.0,60735.0,89627.0,94492.0,92792.0,92035.0,94125.0,83019.0,53232.0,90059.0,91395.0,90918.0,91774.0,97220.0,83597.0,57855.0,90555.0,92582.0,92035.0,90362.0,93183.0,91907.0,97279.0,90326.0,61887.0,89588.0,88473.0,86798.0,81857.0,94638.0,86385.0,56481.0,88729.0,88742.0,89143.0,89507.0,92682.0,85064.0,58278.0,86210.0,88653.0,86742.0,90425.0,94484.0,80198.0,58658.0,88290.0,87042.0,87950.0,88577.0,92222.0
