역명,2018-10-01,2018-10-02,2018-10-03,2018-10-04,2018-10-05,2018-10-06,2018-10-07,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-13,2018-10-14,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-20,2018-10-21,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-27,2018-10-28,2018-10-29,2018-10-30,2018-10-31,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30
종합운동장,36991.0,47154.0,39368.0,39769.0,68487.0,74651.0,49276.0,36893.0,27011.0,51881.0,49652.0,64192.0,123090.0,89862.0,39749.0,40655.0,41061.0,42931.0,40636.0,44130.0,38276.0,38130.0,39836.0,40458.0,41434.0,45140.0,45260.0,26429.0,38330.0,41443.0,40459.0,40879.0,57698.0,34285.0,40357.0,82552.0,29583.0,25282.0,34304.0,36764.0,49051.0,60658.0,31939.0,27478.0,20471.0,31809.0,38963.0,33943.0,33534.0,34421.0,30238.0,24687.0,32504.0,63645.0,65136.0,34849.0,36745.0,144064.0,127924.0,42057.0,133445.0,34807.0
중계,36348.0,35853.0,21921.0,37278.0,35958.0,22456.0,19603.0,35210.0,20000.0,37813.0,36635.0,36444.0,25649.0,20242.0,36651.0,36744.0,37708.0,36525.0,36715.0,26522.0,20719.0,36411.0,35775.0,37986.0,36276.0,35373.0,26003.0,18637.0,36959.0,36571.0,37173.0,36262.0,36383.0,37440.0,18766.0,34881.0,23443.0,19921.0,34842.0,35908.0,21677.0,36409.0,35941.0,24716.0,21137.0,37266.0,36740.0,37295.0,36473.0,36310.0,25042.0,19760.0,36684.0,36359.0,38101.0,35944.0,36301.0,25707.0,20212.0,36928.0,36423.0,37781.0
중곡,22775.0,23600.0,13906.0,23564.0,22610.0,14869.0,12916.0,22587.0,14093.0,23597.0,23469.0,24212.0,17178.0,13477.0,23114.0,23678.0,24738.0,23857.0,24164.0,17341.0,13390.0,23084.0,23281.0,24107.0,23697.0,23191.0,17193.0,12391.0,23131.0,23242.0,23752.0,23056.0,23383.0,23616.0,13131.0,22887.0,16369.0,12476.0,22392.0,23884.0,14223.0,23527.0,24004.0,16835.0,12668.0,23267.0,23692.0,23932.0,23759.0,23888.0,17682.0,13192.0,23091.0,23989.0,23868.0,24326.0,24099.0,18107.0,13757.0,23262.0,23541.0,23868.0
중랑,12549.0,13114.0,9306.0,12704.0,12636.0,9532.0,8416.0,12840.0,9190.0,12877.0,12646.0,13105.0,10758.0,8529.0,12744.0,12808.0,12773.0,12858.0,13028.0,10981.0,8512.0,12623.0,12281.0,12717.0,13028.0,12941.0,10923.0,7780.0,12571.0,12917.0,13132.0,12786.0,12843.0,12870.0,9320.0,12942.0,11212.0,8397.0,11917.0,13050.0,9734.0,12836.0,12812.0,10216.0,7866.0,12411.0,12942.0,12485.0,12799.0,13051.0,11097.0,8519.0,12433.0,12580.0,12768.0,12694.0,13549.0,10976.0,8368.0,12777.0,12559.0,13113.0
중화,25916.0,27034.0,16273.0,26706.0,26370.0,18317.0,14740.0,25715.0,15944.0,26789.0,26405.0,27645.0,20403.0,15344.0,26403.0,27248.0,26662.0,27039.0,26934.0,20535.0,15283.0,26061.0,26236.0,26720.0,26708.0,26606.0,20485.0,14326.0,26012.0,26382.0,26612.0,26337.0,26481.0,26744.0,15399.0,25904.0,19384.0,14959.0,25290.0,26730.0,16574.0,26442.0,27676.0,20229.0,15589.0,26295.0,27030.0,26362.0,26479.0,26642.0,20132.0,15149.0,26055.0,26602.0,26433.0,26370.0,26863.0,20211.0,16115.0,26064.0,26372.0,26565.0
증미,16761.0,17296.0,8287.0,17029.0,16968.0,9245.0,7426.0,16216.0,7959.0,16927.0,17149.0,17360.0,10233.0,6571.0,17319.0,17203.0,17017.0,17260.0,17668.0,10273.0,7514.0,16919.0,16760.0,17121.0,17317.0,16788.0,10775.0,6315.0,17261.0,17137.0,16774.0,15856.0,16038.0,16463.0,8196.0,15295.0,10044.0,6796.0,15092.0,16117.0,8183.0,16030.0,16249.0,9441.0,5924.0,16297.0,16419.0,16223.0,16329.0,16319.0,9659.0,7121.0,15798.0,16401.0,15808.0,16199.0,16576.0,9877.0,5999.0,16222.0,16161.0,16031.0
증산,23369.0,24031.0,15706.0,24140.0,23376.0,16459.0,13912.0,23486.0,15258.0,23874.0,23717.0,23938.0,18508.0,13919.0,23741.0,23830.0,24108.0,24215.0,24433.0,19270.0,14981.0,23696.0,23353.0,24141.0,23821.0,23214.0,18824.0,13052.0,23552.0,23792.0,24322.0,23865.0,24119.0,24511.0,15275.0,23071.0,18602.0,13772.0,22968.0,24543.0,16250.0,23719.0,23968.0,18423.0,13937.0,23950.0,24049.0,23980.0,23899.0,24338.0,20037.0,15012.0,23829.0,24218.0,24593.0,24024.0,24513.0,19444.0,14114.0,24202.0,24172.0,24606.0
지축,3022.0,1992.0,2399.0,3112.0,2854.0,1702.0,1960.0,3029.0,2407.0,3032.0,3069.0,3255.0,2877.0,2145.0,2973.0,3159.0,3101.0,3101.0,3298.0,2928.0,2167.0,3056.0,2911.0,3101.0,3214.0,2859.0,3477.0,1563.0,2988.0,2847.0,2952.0,3286.0,3303.0,3130.0,2188.0,3258.0,2951.0,2327.0,2880.0,3483.0,2650.0,3493.0,3430.0,3526.0,2718.0,3108.0,3274.0,3266.0,3264.0,3556.0,2916.0,2200.0,3243.0,3305.0,3375.0,3326.0,3386.0,3142.0,2240.0,3330.0,3429.0,3283.0
창동,66749.0,69913.0,44783.0,68892.0,67988.0,48921.0,42583.0,66407.0,43564.0,68542.0,67609.0,72381.0,55239.0,41262.0,66829.0,68139.0,68909.0,70001.0,71589.0,55896.0,42052.0,67670.0,67172.0,69587.0,69730.0,68216.0,57348.0,39767.0,68626.0,67950.0,69010.0,67629.0,68645.0,68631.0,43649.0,68540.0,53278.0,40404.0,63648.0,70111.0,45504.0,68205.0,70365.0,54194.0,40448.0,67499.0,67950.0,67971.0,68482.0,70301.0,56461.0,41634.0,66689.0,68107.0,68424.0,68028.0,72390.0,55840.0,42035.0,66682.0,68535.0,69264.0
창신,8301.0,8157.0,4573.0,8244.0,7956.0,4642.0,3808.0,7877.0,4356.0,8303.0,8369.0,7969.0,5122.0,4052.0,8269.0,8193.0,8408.0,8769.0,8216.0,5000.0,5784.0,8226.0,8175.0,8346.0,8223.0,7938.0,5507.0,3952.0,8461.0,8254.0,8340.0,8576.0,8168.0,8775.0,4405.0,7118.0,5309.0,4044.0,8368.0,8221.0,4812.0,8341.0,7987.0,5197.0,4110.0,8331.0,8324.0,8411.0,8330.0,7974.0,5311.0,5593.0,8244.0,8121.0,8314.0,8234.0,8139.0,5154.0,4129.0,8318.0,8287.0,8569.0
