"사용일자","노선명","역명",승차총승객수,하차총승객수,"등록일자"
"20160601","6호선","상수","11141.0","13128.0","20160609"
"20160601","6호선","합정","14186.0","13312.0","20160609"
"20160601","6호선","망원","14580.0","15367.0","20160609"
"20160601","6호선","마포구청","16080.0","14253.0","20160609"
"20160601","6호선","월드컵경기장","6337.0","6892.0","20160609"
"20160601","6호선","디지털미디어시티","18165.0","19696.0","20160609"
"20160601","6호선","증산","12491.0","11904.0","20160609"
"20160601","3호선","압구정","39167.0","43939.0","20160609"
"20160601","3호선","옥수","11672.0","12145.0","20160609"
"20160601","3호선","금호","9191.0","8272.0","20160609"
"20160601","3호선","약수","16898.0","16627.0","20160609"
"20160601","3호선","동대입구","16182.0","18229.0","20160609"
"20160601","3호선","충무로","5.0","0.0","20160609"
"20160601","3호선","을지로3가","11398.0","12945.0","20160609"
"20160601","3호선","종로3가","10023.0","12692.0","20160609"
"20160601","3호선","안국","29774.0","32034.0","20160609"
"20160601","3호선","경복궁","29045.0","30546.0","20160609"
"20160601","3호선","독립문","8926.0","9110.0","20160609"
"20160601","3호선","무악재","4971.0","4976.0","20160609"
"20160601","3호선","홍제","24630.0","23024.0","20160609"
"20160601","3호선","녹번","16194.0","13883.0","20160609"
"20160601","3호선","불광","22902.0","24484.0","20160609"
"20160601","3호선","연신내","48012.0","44889.0","20160609"
"20160601","3호선","구파발","20518.0","16899.0","20160609"
"20160601","3호선","지축","1595.0","1572.0","20160609"
"20160601","2호선","용두","2474.0","2661.0","20160609"
"20160601","2호선","신정네거리","11946.0","12026.0","20160609"
"20160601","2호선","양천구청","8564.0","9014.0","20160609"
"20160601","2호선","도림천","1251.0","1417.0","20160609"
"20160601","2호선","신설동","3980.0","3989.0","20160609"
"20160601","2호선","신답","1662.0","1938.0","20160609"
"20160601","2호선","용답","2992.0","3097.0","20160609"
"20160601","2호선","충정로","14473.0","15915.0","20160609"
"20160601","2호선","아현","12530.0","11878.0","20160609"
"20160601","2호선","이대","25929.0","28115.0","20160609"
"20160601","2호선","신촌","52772.0","54066.0","20160609"
