"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20220901","2호선","신대방","26990","26203","20220904",""
"20220901","2호선","신림","61313","58762","20220904",""
"20220901","2호선","봉천","26070","23873","20220904",""
"20220901","2호선","서울대입구(관악구청)","51225","50545","20220904",""
"20220901","2호선","낙성대(강감찬)","30179","29402","20220904",""
"20220901","2호선","사당","41219","44430","20220904",""
"20220901","2호선","방배","21291","22169","20220904",""
"20220901","2호선","서초","23669","22741","20220904",""
"20220901","2호선","교대(법원.검찰청)","37206","42180","20220904",""
"20220901","2호선","강남","84920","82240","20220904",""
"20220901","2호선","역삼","57249","65514","20220904",""
"20220901","2호선","선릉","62394","56014","20220904",""
"20220901","2호선","삼성(무역센터)","55623","56969","20220904",""
"20220901","2호선","종합운동장","10825","11918","20220904",""
"20220901","2호선","잠실새내","23596","23617","20220904",""
"20220901","2호선","잠실(송파구청)","74247","74217","20220904",""
"20220901","2호선","잠실나루","16221","15808","20220904",""
"20220901","2호선","강변(동서울터미널)","32933","30152","20220904",""
"20220901","2호선","구의(광진구청)","25585","24938","20220904",""
"20220901","2호선","건대입구","37946","40313","20220904",""
"20220901","2호선","성수","40741","45142","20220904",""
"20220901","2호선","뚝섬","24281","26411","20220904",""
"20220901","2호선","한양대","14561","16955","20220904",""
"20220901","2호선","왕십리(성동구청)","18390","14722","20220904",""
"20220901","2호선","상왕십리","15654","15266","20220904",""
"20220901","2호선","신당","14876","15212","20220904",""
"20220901","2호선","동대문역사문화공원(DDP)","13507","15384","20220904",""
"20220901","2호선","을지로4가","14916","14986","20220904",""
"20220901","2호선","을지로3가","26060","26489","20220904",""
"20220901","2호선","을지로입구","47451","48775","20220904",""
"20220901","2호선","시청","26387","25893","20220904",""
"20220901","1호선","동묘앞","8759","8937","20220904",""
"20220901","1호선","청량리(서울시립대입구)","22981","23353","20220904",""
"20220901","1호선","제기동","21748","22507","20220904",""
"20220901","1호선","서울역","49081","47845","20220904",""
"20220901","1호선","시청","26721","26378","20220904",""
"20220901","1호선","종각","40534","39678","20220904",""
"20220901","1호선","종로3가","27728","25170","20220904",""
"20220901","1호선","종로5가","24956","24754","20220904",""
"20220901","1호선","동대문","11465","10762","20220904",""
"20220901","1호선","신설동","14979","14453","20220904",""
"20220901","우이신설선","신설동","2437","2402","20220904",""
"20220901","우이신설선","보문","1691","1690","20220904",""
"20220901","우이신설선","성신여대입구(돈암)","3743","4251","20220904",""
"20220901","우이신설선","정릉","5526","4784","20220904",""
"20220901","우이신설선","북한산보국문","6849","6434","20220904",""
"20220901","우이신설선","솔샘","6476","6073","20220904",""
"20220901","우이신설선","삼양사거리","2803","2653","20220904",""
"20220901","우이신설선","삼양","2262","2351","20220904",""
"20220901","우이신설선","화계","3807","3570","20220904",""
"20220901","우이신설선","가오리","4757","4682","20220904",""
"20220901","우이신설선","4.19민주묘지","4772","4701","20220904",""
"20220901","우이신설선","솔밭공원","2846","2702","20220904",""
"20220901","우이신설선","북한산우이","3210","2826","20220904",""
"20220901","안산선","수리산","4617","3719","20220904",""
"20220901","안산선","오이도","9380","9279","20220904",""
"20220901","안산선","정왕","10774","11145","20220904",""
"20220901","안산선","신길온천","2073","1875","20220904",""
"20220901","안산선","안산","12233","11333","20220904",""
"20220901","안산선","초지","5817","6125","20220904",""
"20220901","안산선","고잔","10163","9730","20220904",""
"20220901","안산선","중앙","20557","21004","20220904",""
"20220901","안산선","한대앞","11446","11666","20220904",""
"20220901","안산선","상록수","17962","18043","20220904",""
"20220901","안산선","반월","4807","4614","20220904",""
"20220901","안산선","대야미","5536","4964","20220904",""
"20220901","안산선","산본","17270","18948","20220904",""
"20220901","신림선","관악산(서울대)","3121","3319","20220904",""
"20220901","신림선","서울대벤처타운","7394","7235","20220904",""
"20220901","신림선","서원","3122","2723","20220904",""
"20220901","신림선","신림","1689","2148","20220904",""
"20220901","신림선","당곡","4090","3907","20220904",""
"20220901","신림선","보라매병원","6887","7372","20220904",""
"20220901","신림선","보라매공원","1959","2109","20220904",""
"20220901","신림선","보라매","3151","2872","20220904",""
"20220901","신림선","서울지방병무청","2529","2745","20220904",""
"20220901","신림선","대방","2387","1909","20220904",""
"20220901","신림선","샛강","2447","3067","20220904",""
"20220901","수인선","인천","1142","1879","20220904",""
"20220901","수인선","신포","2031","2030","20220904",""
"20220901","수인선","숭의","4441","4139","20220904",""
"20220901","수인선","인하대","8676","8332","20220904",""
"20220901","수인선","송도","2620","2495","20220904",""
"20220901","수인선","연수","5029","4986","20220904",""
