"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20220401","수인선","사리","4826","4343","20220404",""
"20220401","5호선","방이","6817","6943","20220404",""
"20220401","5호선","올림픽공원(한국체대)","4328","3712","20220404",""
"20220401","5호선","둔촌동","8404","8305","20220404",""
"20220401","5호선","상일동","14176","13268","20220404",""
"20220401","5호선","고덕","9235","9076","20220404",""
"20220401","5호선","명일","8442","8730","20220404",""
"20220401","5호선","굽은다리(강동구민회관앞)","9218","8644","20220404",""
"20220401","5호선","길동","7866","8262","20220404",""
"20220401","5호선","강동","18055","17105","20220404",""
"20220401","5호선","천호(풍납토성)","17985","17884","20220404",""
"20220401","5호선","광나루(장신대)","13080","11648","20220404",""
"20220401","5호선","아차산(어린이대공원후문)","15153","14691","20220404",""
"20220401","5호선","군자(능동)","10928","12144","20220404",""
"20220401","5호선","장한평","17930","17778","20220404",""
"20220401","5호선","답십리","15538","13920","20220404",""
"20220401","5호선","개롱","6249","6472","20220404",""
"20220401","5호선","거여","9823","9306","20220404",""
"20220401","5호선","마천","7018","6618","20220404",""
"20220401","5호선","강일","4072","3728","20220404",""
"20220401","5호선","미사","15686","15703","20220404",""
"20220401","5호선","하남풍산","4248","4234","20220404",""
"20220401","5호선","하남시청(덕풍·신장)","6541","6505","20220404",""
"20220401","5호선","하남검단산","5412","5199","20220404",""
"20220401","6호선","응암","17127","16978","20220404",""
"20220401","1호선","시청","20773","21177","20220404",""
"20220401","1호선","종각","31866","30795","20220404",""
"20220401","1호선","종로3가","24279","22331","20220404",""
"20220401","1호선","종로5가","22217","22157","20220404",""
"20220401","1호선","동대문","10776","9652","20220404",""
"20220401","1호선","신설동","13637","13185","20220404",""
"20220401","1호선","제기동","17133","17426","20220404",""
"20220401","1호선","청량리(서울시립대입구)","19844","19618","20220404",""
"20220401","1호선","동묘앞","8297","8644","20220404",""
"20220401","2호선","시청","21848","21331","20220404",""
"20220401","2호선","을지로입구","36620","37857","20220404",""
"20220401","2호선","을지로3가","21663","22050","20220404",""
"20220401","2호선","을지로4가","12527","12724","20220404",""
"20220401","2호선","동대문역사문화공원(DDP)","12146","13895","20220404",""
"20220401","2호선","신당","13793","14238","20220404",""
"20220401","2호선","상왕십리","13993","13510","20220404",""
"20220401","2호선","왕십리(성동구청)","17569","14423","20220404",""
"20220401","2호선","한양대","12721","13848","20220404",""
"20220401","2호선","뚝섬","22608","23885","20220404",""
"20220401","2호선","성수","36504","39659","20220404",""
"20220401","2호선","건대입구","38640","40837","20220404",""
"20220401","2호선","구의(광진구청)","23373","22662","20220404",""
"20220401","2호선","강변(동서울터미널)","30381","28921","20220404",""
"20220401","2호선","잠실나루","13537","11695","20220404",""
"20220401","2호선","잠실(송파구청)","69024","69044","20220404",""
"20220401","2호선","잠실새내","20846","21324","20220404",""
"20220401","2호선","종합운동장","6711","7250","20220404",""
"20220401","2호선","삼성(무역센터)","47389","47950","20220404",""
"20220401","2호선","선릉","51279","45602","20220404",""
"20220401","2호선","역삼","45862","51594","20220404",""
"20220401","2호선","강남","81663","80892","20220404",""
"20220401","2호선","교대(법원.검찰청)","32275","36305","20220404",""
"20220401","2호선","서초","20665","19629","20220404",""
"20220401","2호선","방배","18134","18842","20220404",""
"20220401","2호선","사당","36112","40286","20220404",""
"20220401","2호선","낙성대(강감찬)","27203","25344","20220404",""
"20220401","2호선","서울대입구(관악구청)","48258","47114","20220404",""
"20220401","2호선","봉천","23137","21123","20220404",""
"20220401","2호선","신림","62771","60285","20220404",""
"20220401","2호선","신대방","25956","25143","20220404",""
"20220401","2호선","구로디지털단지","56725","56240","20220404",""
"20220401","2호선","대림(구로구청)","22732","23398","20220404",""
"20220401","2호선","신도림","45947","47027","20220404",""
"20220401","2호선","문래","21332","22048","20220404",""
"20220401","2호선","영등포구청","21752","22567","20220404",""
"20220401","2호선","당산","18724","21709","20220404",""
"20220401","2호선","합정","31551","33815","20220404",""
"20220401","2호선","홍대입구","56121","60931","20220404",""
"20220401","2호선","신촌","35779","35591","20220404",""
"20220401","2호선","이대","13995","14492","20220404",""
"20220401","2호선","아현","10424","9717","20220404",""
"20220401","2호선","충정로(경기대입구)","9414","10032","20220404",""
"20220401","2호선","용답","3023","3177","20220404",""
"20220401","2호선","신답","1595","1781","20220404",""
"20220401","2호선","신설동","3555","3038","20220404",""
"20220401","2호선","도림천","1343","1420","20220404",""
"20220401","2호선","양천구청","6497","6770","20220404",""
"20220401","2호선","신정네거리","9867","10363","20220404",""
"20220401","2호선","용두(동대문구청)","2281","2410","20220404",""
"20220401","3호선","지축","4780","4420","20220404",""
"20220401","3호선","구파발","19702","19262","20220404",""
"20220401","3호선","연신내","35789","34222","20220404",""
"20220401","3호선","불광","15588","16636","20220404",""
"20220401","3호선","녹번","15091","13417","20220404",""
"20220401","3호선","홍제","17104","16234","20220404",""
"20220401","3호선","무악재","3724","3706","20220404",""
"20220401","3호선","독립문","6835","7233","20220404",""
"20220401","3호선","경복궁(정부서울청사)","21753","21531","20220404",""
"20220401","3호선","안국","20895","21751","20220404",""
"20220401","3호선","종로3가","9980","11774","20220404",""
"20220401","3호선","을지로3가","10123","10645","20220404",""
"20220401","3호선","동대입구","8586","9502","20220404",""
"20220401","3호선","약수","12826","12476","20220404",""
"20220401","3호선","금호","7781","7169","20220404",""
"20220401","3호선","압구정","30687","32977","20220404",""
"20220401","3호선","신사","31088","32585","20220404",""
"20220401","3호선","잠원","4769","4664","20220404",""
"20220401","3호선","고속터미널","42055","43793","20220404",""
"20220401","3호선","교대(법원.검찰청)","13976","9108","20220404",""
"20220401","3호선","남부터미널(예술의전당)","28716","28916","20220404",""
"20220401","3호선","양재(서초구청)","37358","39966","20220404",""
"20220401","3호선","매봉","11596","11102","20220404",""
"20220401","3호선","도곡","5004","5232","20220404",""
"20220401","3호선","대치","10670","10752","20220404",""
"20220401","3호선","학여울","1653","1713","20220404",""
"20220401","3호선","대청","9753","8995","20220404",""
"20220401","3호선","일원","9912","9330","20220404",""
"20220401","3호선","수서","17340","17878","20220404",""
"20220401","3호선","가락시장","8716","8708","20220404",""
"20220401","3호선","경찰병원","6993","6858","20220404",""
"20220401","3호선","오금","6062","5504","20220404",""
"20220401","4호선","당고개","9010","8265","20220404",""
"20220401","4호선","상계","18867","17499","20220404",""
"20220401","4호선","노원","19016","21631","20220404",""
"20220401","4호선","창동","25142","26993","20220404",""
"20220401","4호선","쌍문","28548","26150","20220404",""
"20220401","4호선","수유(강북구청)","33798","33789","20220404",""
"20220401","4호선","미아(서울사이버대학)","15070","14566","20220404",""
"20220401","4호선","미아사거리","26890","26236","20220404",""
"20220401","4호선","길음","20403","20026","20220404",""
"20220401","4호선","성신여대입구(돈암)","21283","20155","20220404",""
"20220401","4호선","한성대입구(삼선교)","14163","13696","20220404",""
"20220401","4호선","혜화","32391","31757","20220404",""
"20220401","4호선","동대문","18885","19148","20220404",""
"20220401","4호선","동대문역사문화공원(DDP)","14504","13304","20220404",""
"20220401","4호선","충무로","26912","27790","20220404",""
"20220401","4호선","명동","18753","19848","20220404",""
"20220401","4호선","회현(남대문시장)","23134","24640","20220404",""
"20220401","4호선","서울역","10455","17206","20220404",""
"20220401","4호선","숙대입구(갈월)","13318","12850","20220404",""
"20220401","4호선","삼각지","4984","5614","20220404",""
"20220401","4호선","신용산","15447","16528","20220404",""
"20220401","4호선","이촌(국립중앙박물관)","7054","7844","20220404",""
"20220401","4호선","동작(현충원)","1574","1805","20220404",""
"20220401","4호선","총신대입구(이수)","18572","19970","20220404",""
"20220401","4호선","사당","25061","21399","20220404",""
"20220401","4호선","남태령","1268","976","20220404",""
"20220401","5호선","방화","6503","6153","20220404",""
"20220401","5호선","개화산","5389","5251","20220404",""
"20220401","5호선","김포공항","7128","7327","20220404",""
"20220401","5호선","송정","6403","6065","20220404",""
"20220401","5호선","마곡","10244","10049","20220404",""
"20220401","5호선","발산","19305","20085","20220404",""
"20220401","5호선","우장산","14164","13696","20220404",""
"20220401","5호선","화곡","27773","25611","20220404",""
"20220401","5호선","까치산","28147","26784","20220404",""
"20220401","5호선","신정(은행정)","13504","10839","20220404",""
"20220401","5호선","목동","16375","17307","20220404",""
"20220401","5호선","오목교(목동운동장앞)","20635","22334","20220404",""
"20220401","5호선","양평","7395","6943","20220404",""
"20220401","5호선","영등포구청","3819","3901","20220404",""
"20220401","5호선","영등포시장","9993","10309","20220404",""
"20220401","5호선","신길","4106","4213","20220404",""
"20220401","5호선","여의도","27068","28600","20220404",""
"20220401","5호선","여의나루","15724","17322","20220404",""
"20220401","5호선","마포","13921","14384","20220404",""
"20220401","5호선","공덕","13268","14124","20220404",""
"20220401","5호선","애오개","6599","6691","20220404",""
"20220401","5호선","충정로(경기대입구)","4421","4475","20220404",""
"20220401","5호선","서대문","17915","18063","20220404",""
"20220401","5호선","광화문(세종문화회관)","27204","28300","20220404",""
"20220401","5호선","종로3가","12788","12940","20220404",""
