"사용일자","노선명","역명",승차총승객수,하차총승객수,"등록일자"
"20191101","9호선2~3단계","언주","11333.0","11216.0","20191104"
"20191101","우이신설선","신설동","2586.0","2656.0","20191104"
"20191101","우이신설선","보문","1903.0","1853.0","20191104"
"20191101","우이신설선","성신여대입구(돈암)","4151.0","4792.0","20191104"
"20191101","우이신설선","정릉","5330.0","4676.0","20191104"
"20191101","우이신설선","북한산보국문","7391.0","6510.0","20191104"
"20191101","우이신설선","솔샘","6761.0","6109.0","20191104"
"20191101","우이신설선","삼양사거리","2725.0","2810.0","20191104"
"20191101","우이신설선","삼양","2312.0","2455.0","20191104"
"20191101","우이신설선","화계","3892.0","3680.0","20191104"
"20191101","우이신설선","가오리","4847.0","4632.0","20191104"
"20191101","우이신설선","4.19민주묘지","3908.0","3630.0","20191104"
"20191101","우이신설선","솔밭공원","2858.0","2688.0","20191104"
"20191101","우이신설선","북한산우이","3445.0","3117.0","20191104"
"20191101","9호선2~3단계","중앙보훈병원","10224.0","9269.0","20191104"
"20191101","9호선2~3단계","둔촌오륜","1283.0","1074.0","20191104"
"20191101","9호선2~3단계","올림픽공원(한국체대)","7692.0","7803.0","20191104"
"20191101","9호선2~3단계","한성백제","2776.0","2415.0","20191104"
"20191101","9호선2~3단계","송파나루","4514.0","4823.0","20191104"
"20191101","9호선2~3단계","석촌","8428.0","6991.0","20191104"
"20191101","9호선2~3단계","석촌고분","5773.0","5548.0","20191104"
"20191101","9호선2~3단계","삼전","6450.0","6354.0","20191104"
"20191101","9호선2~3단계","종합운동장","5385.0","4988.0","20191104"
"20191101","9호선2~3단계","봉은사","21957.0","21877.0","20191104"
"20191101","9호선2~3단계","삼성중앙","7528.0","7465.0","20191104"
"20191101","1호선","서울역","69942.0","67456.0","20191104"
"20191101","1호선","시청","32587.0","33439.0","20191104"
"20191101","1호선","종각","52010.0","51248.0","20191104"
"20191101","1호선","종로3가","36949.0","34381.0","20191104"
"20191101","1호선","종로5가","30788.0","31401.0","20191104"
"20191101","1호선","동대문","15830.0","17273.0","20191104"
"20191101","1호선","신설동","19302.0","18735.0","20191104"
"20191101","1호선","제기동","22630.0","23001.0","20191104"
"20191101","1호선","청량리(서울시립대입구)","27788.0","28310.0","20191104"
"20191101","1호선","동묘앞","10837.0","11394.0","20191104"
"20191101","2호선","시청","33040.0","31632.0","20191104"
"20191101","2호선","을지로입구","61785.0","61619.0","20191104"
"20191101","2호선","을지로3가","29431.0","29591.0","20191104"
"20191101","2호선","을지로4가","16389.0","16583.0","20191104"
"20191101","2호선","동대문역사문화공원","21487.0","25674.0","20191104"
"20191101","2호선","신당","17348.0","17879.0","20191104"
"20191101","2호선","상왕십리","17479.0","16336.0","20191104"
"20191101","2호선","왕십리(성동구청)","23837.0","19384.0","20191104"
"20191101","2호선","한양대","14071.0","16129.0","20191104"
"20191101","2호선","뚝섬","23631.0","25086.0","20191104"
"20191101","2호선","성수","37077.0","40982.0","20191104"
"20191101","2호선","건대입구","50495.0","57215.0","20191104"
"20191101","2호선","구의(광진구청)","28769.0","27482.0","20191104"
"20191101","2호선","강변(동서울터미널)","52733.0","51565.0","20191104"
"20191101","2호선","잠실나루","19308.0","18488.0","20191104"
"20191101","2호선","잠실(송파구청)","99641.0","97349.0","20191104"
"20191101","2호선","잠실새내","28911.0","29650.0","20191104"
"20191101","2호선","종합운동장","10506.0","11213.0","20191104"
"20191101","2호선","삼성(무역센터)","72643.0","74041.0","20191104"
"20191101","2호선","선릉","66590.0","59958.0","20191104"
"20191101","2호선","역삼","59305.0","67606.0","20191104"
"20191101","2호선","강남","113878.0","119625.0","20191104"
"20191101","2호선","교대(법원.검찰청)","43268.0","49663.0","20191104"
"20191101","2호선","서초","26978.0","26543.0","20191104"
"20191101","2호선","방배","21584.0","22086.0","20191104"
"20191101","2호선","사당","50879.0","56272.0","20191104"
"20191101","2호선","낙성대","35465.0","32454.0","20191104"
"20191101","2호선","서울대입구(관악구청)","62455.0","58787.0","20191104"
"20191101","2호선","봉천","29622.0","26455.0","20191104"
"20191101","2호선","신림","80093.0","77782.0","20191104"
"20191101","2호선","신대방","33245.0","31260.0","20191104"
"20191101","2호선","구로디지털단지","76023.0","76253.0","20191104"
"20191101","2호선","대림(구로구청)","32473.0","33517.0","20191104"
"20191101","2호선","신도림","67174.0","67346.0","20191104"
"20191101","2호선","문래","24438.0","24933.0","20191104"
"20191101","2호선","영등포구청","27314.0","27811.0","20191104"
"20191101","2호선","당산","25765.0","29268.0","20191104"
"20191101","2호선","합정","40347.0","44521.0","20191104"
"20191101","2호선","홍대입구","89501.0","101342.0","20191104"
"20191101","2호선","신촌","56350.0","58504.0","20191104"
"20191101","2호선","이대","24825.0","25408.0","20191104"
"20191101","2호선","아현","13344.0","12286.0","20191104"
"20191101","2호선","충정로(경기대입구)","13558.0","14419.0","20191104"
"20191101","2호선","용답","3356.0","3272.0","20191104"
"20191101","2호선","신답","1973.0","2127.0","20191104"
"20191101","2호선","신설동","4574.0","4463.0","20191104"
"20191101","2호선","도림천","1488.0","1575.0","20191104"
"20191101","2호선","양천구청","8693.0","9020.0","20191104"
"20191101","2호선","신정네거리","11441.0","11968.0","20191104"
"20191101","2호선","용두(동대문구청)","2848.0","2892.0","20191104"
"20191101","3호선","지축","1580.0","1652.0","20191104"
"20191101","3호선","구파발","27336.0","25234.0","20191104"
"20191101","3호선","연신내","47871.0","45470.0","20191104"
"20191101","3호선","불광","21392.0","22976.0","20191104"
"20191101","3호선","녹번","17245.0","14688.0","20191104"
"20191101","3호선","홍제","22691.0","21103.0","20191104"
"20191101","3호선","무악재","4745.0","4868.0","20191104"
"20191101","3호선","독립문","9798.0","9955.0","20191104"
"20191101","3호선","경복궁(정부서울청사)","33042.0","33595.0","20191104"
"20191101","3호선","안국","32141.0","34338.0","20191104"
"20191101","3호선","종로3가","13221.0","16722.0","20191104"
"20191101","3호선","을지로3가","14682.0","15254.0","20191104"
"20191101","3호선","충무로","2.0","0.0","20191104"
"20191101","3호선","동대입구","13237.0","14441.0","20191104"
"20191101","3호선","약수","17112.0","16381.0","20191104"
"20191101","3호선","금호","10326.0","9344.0","20191104"
"20191101","3호선","옥수","11901.0","11958.0","20191104"
"20191101","3호선","압구정","39321.0","42731.0","20191104"
"20191101","3호선","신사","38577.0","42817.0","20191104"
"20191101","3호선","잠원","7893.0","7441.0","20191104"
"20191101","3호선","고속터미널","67685.0","69208.0","20191104"
"20191101","3호선","교대(법원.검찰청)","18083.0","11890.0","20191104"
"20191101","3호선","남부터미널(예술의전당)","42098.0","42264.0","20191104"
"20191101","3호선","양재(서초구청)","51242.0","53874.0","20191104"
"20191101","3호선","매봉","14149.0","13571.0","20191104"
"20191101","3호선","도곡","7011.0","6927.0","20191104"
"20191101","3호선","대치","14368.0","14273.0","20191104"
"20191101","3호선","학여울","4766.0","5224.0","20191104"
"20191101","3호선","대청","12534.0","11134.0","20191104"
"20191101","3호선","일원","12085.0","11741.0","20191104"
