"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20200601","5호선","개화산","5145","4899","20200604",""
"20200601","3호선","불광","15920","17131","20200604",""
"20200601","2호선","신도림","47364","46161","20200604",""
"20200601","3호선","연신내","37604","35416","20200604",""
"20200601","3호선","구파발","20615","19107","20200604",""
"20200601","3호선","지축","3385","3350","20200604",""
"20200601","2호선","용두(동대문구청)","2190","2289","20200604",""
"20200601","2호선","신정네거리","9393","9826","20200604",""
"20200601","2호선","양천구청","6552","6819","20200604",""
"20200601","2호선","도림천","1244","1308","20200604",""
"20200601","2호선","신설동","3118","3074","20200604",""
"20200601","2호선","신답","1572","1799","20200604",""
"20200601","2호선","용답","2458","2455","20200604",""
"20200601","2호선","대림(구로구청)","25555","25635","20200604",""
"20200601","2호선","구로디지털단지","61280","61712","20200604",""
"20200601","2호선","신대방","26383","25096","20200604",""
"20200601","2호선","신림","62018","59943","20200604",""
"20200601","2호선","봉천","24543","22738","20200604",""
"20200601","2호선","서울대입구(관악구청)","46205","45671","20200604",""
"20200601","2호선","낙성대(강감찬)","26691","25847","20200604",""
"20200601","2호선","사당","34404","38050","20200604",""
"20200601","2호선","방배","16229","16831","20200604",""
"20200601","2호선","서초","21291","21166","20200604",""
"20200601","2호선","교대(법원.검찰청)","33846","37908","20200604",""
"20200601","2호선","강남","83315","83762","20200604",""
"20200601","2호선","역삼","49136","54966","20200604",""
"20200601","2호선","선릉","57616","51795","20200604",""
"20200601","2호선","삼성(무역센터)","50378","52065","20200604",""
"20200601","2호선","종합운동장","6712","7274","20200604",""
"20200601","2호선","잠실새내","20002","20086","20200604",""
"20200601","2호선","잠실(송파구청)","59970","60009","20200604",""
"20200601","2호선","잠실나루","14596","14355","20200604",""
"20200601","2호선","강변(동서울터미널)","31516","30621","20200604",""
"20200601","2호선","구의(광진구청)","23454","23148","20200604",""
"20200601","2호선","건대입구","31589","33911","20200604",""
"20200601","2호선","성수","31203","34295","20200604",""
"20200601","2호선","뚝섬","19059","20398","20200604",""
"20200601","2호선","한양대","7506","8678","20200604",""
"20200601","2호선","왕십리(성동구청)","14988","12206","20200604",""
"20200601","2호선","상왕십리","13181","12989","20200604",""
"20200601","2호선","신당","13351","13617","20200604",""
"20200601","2호선","동대문역사문화공원(DDP)","11702","13276","20200604",""
"20200601","2호선","을지로4가","13086","12895","20200604",""
"20200601","2호선","을지로3가","20704","20563","20200604",""
"20200601","2호선","을지로입구","38012","39209","20200604",""
"20200601","2호선","시청","23400","23622","20200604",""
"20200601","1호선","동묘앞","7885","8429","20200604",""
"20200601","1호선","청량리(서울시립대입구)","20609","20054","20200604",""
"20200601","1호선","제기동","16570","17170","20200604",""
"20200601","1호선","신설동","14482","14480","20200604",""
"20200601","1호선","동대문","11380","11945","20200604",""
"20200601","1호선","종로5가","22895","22794","20200604",""
"20200601","1호선","종로3가","25375","23520","20200604",""
"20200601","1호선","종각","36838","36177","20200604",""
"20200601","1호선","시청","20304","20569","20200604",""
"20200601","1호선","서울역","41115","38861","20200604",""
"20200601","2호선","충정로(경기대입구)","9588","10071","20200604",""
"20200601","2호선","문래","20640","21256","20200604",""
"20200601","2호선","영등포구청","22496","23050","20200604",""
"20200601","2호선","당산","19420","22917","20200604",""
"20200601","2호선","합정","27560","28729","20200604",""
"20200601","2호선","홍대입구","40832","42771","20200604",""
"20200601","2호선","신촌","29289","30830","20200604",""
"20200601","2호선","이대","10974","11412","20200604",""
"20200601","2호선","아현","9506","9195","20200604",""
"20200601","4호선","남태령","1038","916","20200604",""
"20200601","4호선","사당","23262","19644","20200604",""
"20200601","4호선","총신대입구(이수)","19137","21051","20200604",""
"20200601","4호선","동작(현충원)","2717","2897","20200604",""
"20200601","4호선","이촌(국립중앙박물관)","6411","7349","20200604",""
