"사용일자","노선명","역명",승차총승객수,하차총승객수,"등록일자"
"20170601","5호선","개화산","6733.0","6300.0","20170604"
"20170601","5호선","방화","8419.0","8019.0","20170604"
"20170601","경강선","여주","2448.0","2392.0","20170604"
"20170601","경강선","세종대왕릉","206.0","245.0","20170604"
"20170601","경강선","부발","1799.0","1584.0","20170604"
"20170601","경강선","이천","2395.0","2511.0","20170604"
"20170601","경강선","신둔도예촌","1355.0","1164.0","20170604"
"20170601","경강선","곤지암","2441.0","2418.0","20170604"
"20170601","경강선","초월","2505.0","2439.0","20170604"
"20170601","경강선","경기광주","5901.0","5924.0","20170604"
"20170601","경강선","삼동","1723.0","1325.0","20170604"
"20170601","경강선","이매","1724.0","1166.0","20170604"
"20170601","경강선","판교","3128.0","3046.0","20170604"
"20170601","수인선","인천","1030.0","1783.0","20170604"
"20170601","수인선","신포","2349.0","2464.0","20170604"
"20170601","수인선","숭의","3935.0","3735.0","20170604"
"20170601","수인선","인하대","7729.0","7294.0","20170604"
"20170601","수인선","송도","3642.0","3504.0","20170604"
"20170601","수인선","연수","5816.0","5803.0","20170604"
"20170601","수인선","원인재","5959.0","6003.0","20170604"
"20170601","수인선","남동인더스파크","2820.0","3248.0","20170604"
"20170601","수인선","호구포","3970.0","4051.0","20170604"
"20170601","수인선","인천논현","7182.0","7592.0","20170604"
"20170601","수인선","소래포구","6419.0","6011.0","20170604"
"20170601","수인선","월곶","3351.0","3129.0","20170604"
"20170601","수인선","달월","155.0","105.0","20170604"
"20170601","경춘선","춘천","2545.0","2159.0","20170604"
"20170601","경춘선","남춘천","3398.0","3200.0","20170604"
"20170601","경춘선","김유정","389.0","451.0","20170604"
"20170601","경춘선","강촌","774.0","698.0","20170604"
"20170601","경춘선","백양리","134.0","133.0","20170604"
"20170601","경춘선","굴봉산","176.0","181.0","20170604"
"20170601","경춘선","가평","2065.0","2031.0","20170604"
"20170601","경춘선","상천","393.0","362.0","20170604"
"20170601","경춘선","청평","2112.0","2068.0","20170604"
"20170601","경춘선","대성리","530.0","630.0","20170604"
"20170601","경춘선","마석","4312.0","4460.0","20170604"
"20170601","경춘선","천마산","1693.0","1555.0","20170604"
"20170601","경춘선","평내호평","7060.0","6713.0","20170604"
"20170601","경춘선","금곡","1787.0","1714.0","20170604"
"20170601","경춘선","사릉","4428.0","4113.0","20170604"
"20170601","경춘선","퇴계원","4183.0","3908.0","20170604"
"20170601","경춘선","별내","2935.0","2819.0","20170604"
"20170601","경춘선","갈매","2186.0","1901.0","20170604"
"20170601","경춘선","신내","904.0","1012.0","20170604"
"20170601","경의선","문산","6648.0","6426.0","20170604"
"20170601","경의선","파주","2667.0","1877.0","20170604"
"20170601","경의선","월롱","3305.0","3785.0","20170604"
"20170601","경의선","금촌","8403.0","8296.0","20170604"
"20170601","경의선","금릉","5534.0","5563.0","20170604"
"20170601","경의선","운정","5890.0","5480.0","20170604"
"20170601","경의선","야당","4421.0","4025.0","20170604"
