"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20201101","중앙선","양수","1411","1337","20201104",""
"20201101","중앙선","운길산","734","689","20201104",""
"20201101","중앙선","팔당","921","913","20201104",""
"20201101","중앙선","도심","1070","985","20201104",""
"20201101","중앙선","덕소","3017","3102","20201104",""
"20201101","중앙선","양정","439","369","20201104",""
"20201101","중앙선","도농","4256","4184","20201104",""
"20201101","중앙선","구리","6722","6940","20201104",""
"20201101","중앙선","양원","617","626","20201104",""
"20201101","중앙선","지평","40","17","20201104",""
"20201101","중앙선","용문","2093","1650","20201104",""
"20201101","중앙선","원덕","305","259","20201104",""
"20201101","중앙선","망우","4123","4280","20201104",""
"20201101","중앙선","양평","1974","1718","20201104",""
"20201101","중앙선","오빈","182","183","20201104",""
"20201101","중앙선","아신","468","379","20201104",""
"20201101","중앙선","국수","505","487","20201104",""
"20201101","중앙선","신원","173","103","20201104",""
"20201101","중앙선","상봉(시외버스터미널)","3446","3423","20201104",""
"20201101","중앙선","중랑","2954","2981","20201104",""
"20201101","중앙선","회기","14281","14486","20201104",""
"20201101","장항선","신창(순천향대)","828","1370","20201104",""
"20201101","장항선","온양온천","3195","3038","20201104",""
"20201101","장항선","배방","659","822","20201104",""
"20201101","장항선","아산","2845","2115","20201104",""
"20201101","장항선","쌍용(나사렛대)","1016","1120","20201104",""
"20201101","장항선","봉명","477","500","20201104",""
"20201101","일산선","대화","6365","5428","20201104",""
"20201101","일산선","주엽","3833","3821","20201104",""
"20201101","일산선","정발산","4293","4338","20201104",""
"20201101","일산선","마두","3145","3046","20201104",""
"20201101","일산선","백석","5166","5153","20201104",""
"20201101","일산선","대곡","981","801","20201104",""
"20201101","일산선","화정","8015","8308","20201104",""
"20201101","일산선","원당","5496","5217","20201104",""
"20201101","일산선","삼송","9069","8895","20201104",""
"20201101","일산선","원흥","4134","3914","20201104",""
"20201101","우이신설선","신설동","907","853","20201104",""
"20201101","우이신설선","보문","768","756","20201104",""
"20201101","우이신설선","성신여대입구(돈암)","1688","2048","20201104",""
"20201101","우이신설선","정릉","2216","1854","20201104",""
"20201101","우이신설선","북한산보국문","3150","2906","20201104",""
"20201101","우이신설선","솔샘","2431","2206","20201104",""
"20201101","우이신설선","삼양사거리","1189","1245","20201104",""
"20201101","우이신설선","삼양","1047","1027","20201104",""
"20201101","우이신설선","화계","1604","1531","20201104",""
"20201101","우이신설선","가오리","1956","1814","20201104",""
"20201101","우이신설선","4.19민주묘지","1444","1479","20201104",""
"20201101","우이신설선","솔밭공원","1208","1075","20201104",""
"20201101","우이신설선","북한산우이","2217","2082","20201104",""
"20201101","안산선","수리산","1908","1671","20201104",""
"20201101","안산선","오이도","4981","4864","20201104",""
"20201101","안산선","정왕","4355","5121","20201104",""
"20201101","안산선","신길온천","1013","938","20201104",""
"20201101","안산선","안산","9587","9128","20201104",""
"20201101","안산선","초지","2096","2034","20201104",""
"20201101","안산선","고잔","4374","4292","20201104",""
"20201101","안산선","중앙","10737","10486","20201104",""
"20201101","안산선","한대앞","4597","4652","20201104",""
"20201101","안산선","상록수","9091","8635","20201104",""
"20201101","안산선","반월","2408","2283","20201104",""
"20201101","안산선","대야미","2508","2245","20201104",""
"20201101","안산선","산본","7697","8208","20201104",""
"20201101","수인선","인천","840","1209","20201104",""
"20201101","수인선","신포","911","890","20201104",""
"20201101","수인선","숭의","1679","1529","20201104",""
"20201101","수인선","인하대","2502","2506","20201104",""
"20201101","수인선","송도","1228","1203","20201104",""
"20201101","수인선","연수","2580","2543","20201104",""
"20201101","수인선","원인재","2308","2418","20201104",""
"20201101","수인선","남동인더스파크","767","731","20201104",""
"20201101","수인선","호구포","1495","1545","20201104",""
"20201101","수인선","인천논현","2626","2708","20201104",""
"20201101","수인선","소래포구","4582","4456","20201104",""
"20201101","수인선","월곶","1317","1321","20201104",""
"20201101","수인선","달월","31","29","20201104",""
"20201101","수인선","사리","1985","1715","20201104",""
"20201101","수인선","야목","125","111","20201104",""
"20201101","수인선","어천","339","383","20201104",""
"20201101","수인선","오목천","1097","1107","20201104",""
"20201101","수인선","고색","1204","1280","20201104",""
"20201101","분당선","매교","1186","1268","20201104",""
"20201101","분당선","수원시청","7138","6911","20201104",""
"20201101","분당선","매탄권선","2163","2113","20201104",""
"20201101","분당선","망포","5575","5885","20201104",""
"20201101","분당선","영통","4336","4370","20201104",""
"20201101","분당선","청명","1740","1826","20201104",""
"20201101","분당선","상갈","2633","2594","20201104",""
"20201101","분당선","기흥","4408","4398","20201104",""
"20201101","분당선","신갈","1769","1757","20201104",""
"20201101","분당선","구성","2128","2233","20201104",""
"20201101","분당선","죽전","7409","8544","20201104",""
"20201101","분당선","보정","968","936","20201104",""
"20201101","분당선","이매","2795","2783","20201104",""
"20201101","분당선","오리","4816","4305","20201104",""
"20201101","분당선","미금","6381","6856","20201104",""
"20201101","분당선","정자","6674","6838","20201104",""
"20201101","분당선","수내","5381","5298","20201104",""
"20201101","분당선","서현","11840","12132","20201104",""
"20201101","분당선","야탑","11951","12504","20201104",""
"20201101","분당선","모란","10092","10361","20201104",""
"20201101","분당선","태평","7134","6753","20201104",""
"20201101","분당선","가천대","3583","4292","20201104",""
"20201101","분당선","선정릉","2028","2112","20201104",""
"20201101","분당선","강남구청","2773","3232","20201104",""
"20201101","분당선","압구정로데오","7747","8574","20201104",""
"20201101","분당선","서울숲","3816","4018","20201104",""
"20201101","분당선","수원","5576","4407","20201104",""
"20201101","분당선","복정","1","0","20201104",""
"20201101","분당선","수서","7978","7593","20201104",""
"20201101","분당선","대모산입구","1315","1302","20201104",""
"20201101","분당선","개포동","1659","1688","20201104",""
"20201101","분당선","구룡","852","921","20201104",""
"20201101","분당선","도곡","2296","2218","20201104",""
"20201101","분당선","한티","7746","7354","20201104",""
"20201101","분당선","선릉","2657","3845","20201104",""
"20201101","과천선","범계","12609","12067","20201104",""
"20201101","과천선","평촌","5907","5938","20201104",""
"20201101","과천선","인덕원","9951","9875","20201104",""
"20201101","과천선","정부과천청사","3219","3377","20201104",""
"20201101","과천선","과천","2376","2293","20201104",""
"20201101","과천선","대공원","2759","2860","20201104",""
"20201101","과천선","경마공원","2916","2817","20201104",""
"20201101","과천선","선바위","3372","3182","20201104",""
"20201101","공항철도 1호선","영종","1904","1836","20201104",""
"20201101","공항철도 1호선","인천공항2터미널","1399","1308","20201104",""
"20201101","공항철도 1호선","인천공항1터미널","2797","2777","20201104",""
"20201101","공항철도 1호선","공항화물청사","880","994","20201104",""
"20201101","공항철도 1호선","운서","3989","4187","20201104",""
"20201101","공항철도 1호선","청라국제도시","2599","2488","20201104",""
"20201101","공항철도 1호선","검암","3318","3357","20201104",""
"20201101","공항철도 1호선","계양","4442","4096","20201104",""
"20201101","공항철도 1호선","김포공항","9889","5277","20201104",""
"20201101","공항철도 1호선","마곡나루(서울식물원)","1605","1769","20201104",""
"20201101","공항철도 1호선","디지털미디어시티","3097","3033","20201104",""
"20201101","공항철도 1호선","홍대입구","7375","6524","20201104",""
"20201101","공항철도 1호선","공덕","1064","1330","20201104",""
"20201101","공항철도 1호선","서울역","6637","6039","20201104",""
"20201101","경춘선","춘천","1407","1189","20201104",""
"20201101","경춘선","남춘천","1957","2227","20201104",""
"20201101","경춘선","김유정","347","408","20201104",""
"20201101","경춘선","강촌","596","471","20201104",""
