"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20200701","3호선","남부터미널(예술의전당)","28865","29827","20200704",""
"20200701","중앙선","지평","60","43","20200704",""
"20200701","중앙선","용문","1661","1839","20200704",""
"20200701","중앙선","원덕","336","314","20200704",""
"20200701","7호선","춘의","9404","9266","20200704",""
"20200701","중앙선","양평","2571","2645","20200704",""
"20200701","중앙선","오빈","308","299","20200704",""
"20200701","중앙선","아신","535","544","20200704",""
"20200701","중앙선","국수","744","768","20200704",""
"20200701","중앙선","신원","197","178","20200704",""
"20200701","중앙선","양수","2152","2199","20200704",""
"20200701","중앙선","운길산","807","827","20200704",""
"20200701","중앙선","팔당","852","861","20200704",""
"20200701","중앙선","도심","2666","2047","20200704",""
"20200701","중앙선","덕소","5893","5875","20200704",""
"20200701","중앙선","양정","888","757","20200704",""
"20200701","중앙선","도농","10192","9150","20200704",""
"20200701","중앙선","구리","13715","13676","20200704",""
"20200701","중앙선","양원","1797","1790","20200704",""
"20200701","중앙선","망우","7749","7440","20200704",""
"20200701","중앙선","상봉(시외버스터미널)","5914","5756","20200704",""
"20200701","중앙선","중랑","5546","5358","20200704",""
"20200701","중앙선","회기","24338","23374","20200704",""
"20200701","장항선","신창(순천향대)","1266","1209","20200704",""
"20200701","장항선","온양온천","2982","3064","20200704",""
"20200701","장항선","배방","896","875","20200704",""
"20200701","장항선","아산","2391","2232","20200704",""
"20200701","장항선","쌍용(나사렛대)","1795","1717","20200704",""
"20200701","장항선","봉명","1186","1135","20200704",""
"20200701","일산선","대화","14094","10924","20200704",""
"20200701","일산선","주엽","8798","8955","20200704",""
"20200701","일산선","정발산","7100","7481","20200704",""
"20200701","일산선","마두","7543","7771","20200704",""
"20200701","일산선","백석","10045","10001","20200704",""
"20200701","일산선","대곡","1906","1508","20200704",""
"20200701","일산선","화정","17456","17781","20200704",""
"20200701","일산선","원당","11363","10737","20200704",""
"20200701","일산선","삼송","17987","17254","20200704",""
"20200701","일산선","원흥","9627","8889","20200704",""
"20200701","우이신설선","신설동","2269","2215","20200704",""
"20200701","우이신설선","보문","1466","1474","20200704",""
"20200701","우이신설선","성신여대입구(돈암)","3093","3476","20200704",""
"20200701","우이신설선","정릉","4289","4052","20200704",""
"20200701","우이신설선","북한산보국문","5697","5423","20200704",""
"20200701","우이신설선","솔샘","5714","5304","20200704",""
"20200701","우이신설선","삼양사거리","2444","2415","20200704",""
"20200701","우이신설선","삼양","1945","2154","20200704",""
"20200701","우이신설선","화계","3296","3028","20200704",""
"20200701","우이신설선","가오리","3868","3764","20200704",""
"20200701","우이신설선","4.19민주묘지","2786","2663","20200704",""
"20200701","우이신설선","솔밭공원","2369","2288","20200704",""
"20200701","우이신설선","북한산우이","2579","2295","20200704",""
"20200701","안산선","수리산","4317","3448","20200704",""
"20200701","안산선","오이도","8855","8499","20200704",""
"20200701","안산선","정왕","7648","8063","20200704",""
"20200701","안산선","신길온천","1589","1415","20200704",""
"20200701","안산선","안산","11329","10063","20200704",""
"20200701","안산선","초지","3976","3963","20200704",""
"20200701","안산선","고잔","7968","7823","20200704",""
"20200701","안산선","중앙","15539","16339","20200704",""
"20200701","안산선","한대앞","7243","7250","20200704",""
"20200701","안산선","상록수","17828","16267","20200704",""
"20200701","안산선","반월","4459","4254","20200704",""
"20200701","안산선","대야미","5110","4598","20200704",""
"20200701","안산선","산본","16263","17442","20200704",""
"20200701","수인선","인천","876","1422","20200704",""
"20200701","수인선","신포","1714","1868","20200704",""
"20200701","수인선","숭의","3614","3390","20200704",""
"20200701","수인선","인하대","5293","4990","20200704",""
"20200701","수인선","송도","2507","2337","20200704",""
"20200701","수인선","연수","4358","4364","20200704",""
"20200701","수인선","원인재","4048","4132","20200704",""
"20200701","수인선","남동인더스파크","2206","2408","20200704",""
"20200701","수인선","호구포","3389","3381","20200704",""
"20200701","수인선","인천논현","5171","5612","20200704",""
"20200701","수인선","소래포구","4393","4067","20200704",""
"20200701","수인선","월곶","2249","2019","20200704",""
"20200701","수인선","달월","78","64","20200704",""
"20200701","분당선","매교","2443","2409","20200704",""
"20200701","분당선","수원시청","10463","11741","20200704",""
"20200701","분당선","매탄권선","4336","4118","20200704",""
"20200701","분당선","망포","12781","12338","20200704",""
"20200701","분당선","영통","7894","8263","20200704",""
"20200701","분당선","청명","4095","3856","20200704",""
"20200701","분당선","상갈","5348","4964","20200704",""
"20200701","분당선","기흥","9511","8830","20200704",""
"20200701","분당선","신갈","4540","4397","20200704",""
"20200701","분당선","구성","4914","4953","20200704",""
"20200701","분당선","죽전","13149","14432","20200704",""
"20200701","분당선","보정","2617","2240","20200704",""
"20200701","분당선","이매","5689","5277","20200704",""
"20200701","분당선","오리","11668","9996","20200704",""
"20200701","분당선","미금","15962","17097","20200704",""
"20200701","분당선","정자","16502","17763","20200704",""
"20200701","분당선","수내","12919","13088","20200704",""
"20200701","분당선","서현","24545","24983","20200704",""
"20200701","분당선","야탑","25385","26567","20200704",""
"20200701","분당선","모란","19161","19278","20200704",""
"20200701","분당선","태평","13238","12787","20200704",""
"20200701","분당선","가천대","7212","8291","20200704",""
"20200701","분당선","선정릉","8228","8826","20200704",""
"20200701","분당선","강남구청","9445","11023","20200704",""
"20200701","분당선","압구정로데오","16809","19194","20200704",""
"20200701","분당선","서울숲","9402","9687","20200704",""
"20200701","분당선","수원","7514","5265","20200704",""
"20200701","분당선","수서","12860","13380","20200704",""
"20200701","분당선","대모산입구","3455","3229","20200704",""
"20200701","3호선","양재(서초구청)","38843","42562","20200704",""
"20200701","3호선","매봉","11999","11590","20200704",""
"20200701","3호선","도곡","5509","5575","20200704",""
"20200701","3호선","대치","10857","10737","20200704",""
"20200701","3호선","학여울","1831","1880","20200704",""
"20200701","3호선","대청","10137","9085","20200704",""
"20200701","3호선","일원","9822","9666","20200704",""
"20200701","3호선","수서","16167","16267","20200704",""
"20200701","3호선","가락시장","9211","9105","20200704",""
