"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20201001","2호선","시청","2118","1605","20201004",""
"20201001","1호선","청량리(서울시립대입구)","6567","6637","20201004",""
"20201001","1호선","제기동","3450","3186","20201004",""
"20201001","1호선","신설동","3386","3300","20201004",""
"20201001","1호선","동대문","6187","6468","20201004",""
"20201001","1호선","종로5가","2706","2761","20201004",""
"20201001","1호선","종로3가","5882","5659","20201004",""
"20201001","1호선","종각","5570","5352","20201004",""
"20201001","1호선","시청","2989","2955","20201004",""
"20201001","1호선","동묘앞","4415","4773","20201004",""
"20201001","1호선","서울역","13090","14290","20201004",""
"20201001","2호선","을지로입구","4508","4211","20201004",""
"20201001","2호선","을지로3가","1984","2124","20201004",""
"20201001","2호선","을지로4가","1029","907","20201004",""
"20201001","2호선","동대문역사문화공원(DDP)","3833","4373","20201004",""
"20201001","2호선","신당","3968","4073","20201004",""
"20201001","2호선","상왕십리","3300","3105","20201004",""
"20201001","2호선","왕십리(성동구청)","4532","3957","20201004",""
"20201001","2호선","한양대","1127","1217","20201004",""
"20201001","2호선","뚝섬","3344","3277","20201004",""
"20201001","2호선","성수","4160","4684","20201004",""
"20201001","2호선","건대입구","12463","14426","20201004",""
"20201001","2호선","구의(광진구청)","5723","5661","20201004",""
"20201001","2호선","강변(동서울터미널)","12684","12278","20201004",""
"20201001","2호선","잠실나루","2516","2506","20201004",""
"20201001","2호선","잠실(송파구청)","19345","18020","20201004",""
"20201001","2호선","잠실새내","4417","5003","20201004",""
"20201001","2호선","종합운동장","1514","1632","20201004",""
"20201001","2호선","삼성(무역센터)","6951","6599","20201004",""
"20201001","2호선","선릉","4606","3980","20201004",""
"20201001","2호선","역삼","3635","3911","20201004",""
"20201001","2호선","강남","12788","13138","20201004",""
"20201001","2호선","교대(법원.검찰청)","3611","3997","20201004",""
"20201001","2호선","서초","2324","1969","20201004",""
"20201001","2호선","방배","2640","2720","20201004",""
"20201001","2호선","사당","9147","9941","20201004",""
"20201001","2호선","낙성대(강감찬)","7260","6801","20201004",""
"20201001","2호선","서울대입구(관악구청)","12314","12168","20201004",""
"20201001","2호선","봉천","6287","5914","20201004",""
"20201001","2호선","신림","19920","19600","20201004",""
"20201001","2호선","신대방","8911","8726","20201004",""
"20201001","2호선","구로디지털단지","12584","12252","20201004",""
"20201001","2호선","대림(구로구청)","9541","10223","20201004",""
"20201001","2호선","신도림","11620","11656","20201004",""
"20201001","2호선","문래","3064","3111","20201004",""
"20201001","2호선","영등포구청","3464","3458","20201004",""
"20201001","2호선","당산","4491","4775","20201004",""
"20201001","2호선","합정","7392","8347","20201004",""
"20201001","2호선","홍대입구","17447","19864","20201004",""
"20201001","2호선","신촌","7922","8245","20201004",""
"20201001","2호선","이대","2821","2763","20201004",""
"20201001","2호선","아현","2519","2472","20201004",""
"20201001","2호선","충정로(경기대입구)","1917","1852","20201004",""
"20201001","2호선","용답","1047","931","20201004",""
"20201001","2호선","신답","356","351","20201004",""
"20201001","2호선","신설동","896","841","20201004",""
"20201001","2호선","도림천","279","211","20201004",""
"20201001","2호선","양천구청","1646","1681","20201004",""
"20201001","2호선","신정네거리","2543","2554","20201004",""
"20201001","2호선","용두(동대문구청)","546","510","20201004",""
"20201001","3호선","지축","917","915","20201004",""
"20201001","3호선","구파발","6130","6215","20201004",""
"20201001","3호선","연신내","12634","11966","20201004",""
"20201001","3호선","불광","4688","5237","20201004",""
"20201001","3호선","녹번","3685","3358","20201004",""
"20201001","3호선","홍제","5246","4857","20201004",""
"20201001","3호선","무악재","1100","1142","20201004",""
"20201001","3호선","독립문","2362","2420","20201004",""
"20201001","3호선","경복궁(정부서울청사)","5440","6358","20201004",""
"20201001","3호선","안국","4036","4638","20201004",""
"20201001","3호선","종로3가","1396","2282","20201004",""
"20201001","3호선","을지로3가","881","979","20201004",""
"20201001","3호선","동대입구","2150","2593","20201004",""
"20201001","3호선","약수","3521","3322","20201004",""
"20201001","3호선","금호","2459","2229","20201004",""
"20201001","3호선","옥수","2677","2602","20201004",""
"20201001","3호선","압구정","3936","4080","20201004",""
"20201001","3호선","신사","4228","4923","20201004",""
"20201001","3호선","잠원","1192","1147","20201004",""
"20201001","3호선","고속터미널","13060","13451","20201004",""
"20201001","3호선","교대(법원.검찰청)","1234","813","20201004",""
"20201001","3호선","남부터미널(예술의전당)","6259","6259","20201004",""
"20201001","3호선","양재(서초구청)","4618","5308","20201004",""
"20201001","3호선","매봉","1620","1579","20201004",""
"20201001","3호선","도곡","888","846","20201004",""
"20201001","3호선","대치","2686","2488","20201004",""
"20201001","3호선","학여울","374","311","20201004",""
"20201001","3호선","대청","2055","1950","20201004",""
"20201001","3호선","일원","1582","1641","20201004",""
"20201001","3호선","수서","4701","4626","20201004",""
"20201001","3호선","가락시장","1738","1711","20201004",""
"20201001","3호선","경찰병원","1413","1352","20201004",""
"20201001","3호선","오금","1283","1215","20201004",""
"20201001","4호선","수유(강북구청)","11781","11636","20201004",""
"20201001","4호선","미아(서울사이버대학)","5117","4627","20201004",""
"20201001","4호선","미아사거리","8785","8363","20201004",""
"20201001","4호선","길음","5559","5289","20201004",""
"20201001","4호선","성신여대입구(돈암)","6140","5779","20201004",""
"20201001","4호선","한성대입구(삼선교)","4098","3958","20201004",""
"20201001","4호선","혜화","7996","8536","20201004",""
"20201001","4호선","동대문","2299","2017","20201004",""
"20201001","4호선","동대문역사문화공원(DDP)","4471","4183","20201004",""
"20201001","4호선","충무로","4164","4159","20201004",""
"20201001","4호선","명동","6439","6998","20201004",""
"20201001","4호선","회현(남대문시장)","1977","1996","20201004",""
"20201001","4호선","서울역","2273","4947","20201004",""
"20201001","4호선","숙대입구(갈월)","2791","2609","20201004",""
"20201001","4호선","삼각지","698","898","20201004",""
"20201001","4호선","신용산","3044","3212","20201004",""
"20201001","4호선","이촌(국립중앙박물관)","1609","1859","20201004",""
"20201001","4호선","동작(현충원)","1113","1062","20201004",""
"20201001","4호선","총신대입구(이수)","4808","5284","20201004",""
"20201001","4호선","사당","7051","6266","20201004",""
"20201001","4호선","남태령","300","283","20201004",""
"20201001","4호선","당고개","4745","4484","20201004",""
"20201001","4호선","상계","6208","5684","20201004",""
"20201001","4호선","노원","5902","6824","20201004",""
"20201001","4호선","창동","7753","7939","20201004",""
"20201001","4호선","쌍문","9307","8202","20201004",""
"20201001","5호선","방화","2101","1955","20201004",""
"20201001","5호선","개화산","1781","1627","20201004",""
"20201001","5호선","김포공항","3636","4320","20201004",""
"20201001","5호선","송정","2430","2293","20201004",""
"20201001","5호선","마곡","1361","1279","20201004",""
"20201001","5호선","발산","3236","3417","20201004",""
"20201001","5호선","우장산","3165","3221","20201004",""
"20201001","5호선","화곡","7733","7239","20201004",""
"20201001","5호선","까치산","8994","8779","20201004",""
"20201001","5호선","신정(은행정)","3542","3149","20201004",""
"20201001","5호선","목동","4218","4233","20201004",""
"20201001","5호선","오목교(목동운동장앞)","4067","4441","20201004",""
"20201001","5호선","양평","1206","1148","20201004",""
"20201001","5호선","영등포구청","689","588","20201004",""
"20201001","5호선","영등포시장","1713","1747","20201004",""
"20201001","5호선","신길","785","887","20201004",""
"20201001","5호선","여의도","2390","2613","20201004",""
"20201001","5호선","여의나루","4136","4049","20201004",""
"20201001","5호선","마포","2215","2276","20201004",""
"20201001","5호선","공덕","2037","2027","20201004",""
"20201001","5호선","애오개","1314","1305","20201004",""
"20201001","5호선","충정로(경기대입구)","722","695","20201004",""
"20201001","5호선","서대문","2398","2235","20201004",""
"20201001","5호선","광화문(세종문화회관)","4479","4293","20201004",""
"20201001","5호선","종로3가","3443","3726","20201004",""
"20201001","5호선","을지로4가","408","398","20201004",""
"20201001","5호선","동대문역사문화공원(DDP)","314","395","20201004",""
"20201001","5호선","청구","1038","983","20201004",""
"20201001","5호선","신금호","1707","1805","20201004",""
"20201001","5호선","행당","2187","1869","20201004",""
"20201001","5호선","왕십리(성동구청)","1289","1471","20201004",""
"20201001","5호선","마장","1489","1417","20201004",""
"20201001","5호선","답십리","3902","3699","20201004",""
"20201001","5호선","장한평","3710","3584","20201004",""
"20201001","5호선","군자(능동)","3130","3417","20201004",""
"20201001","5호선","아차산(어린이대공원후문)","5200","5019","20201004",""
"20201001","5호선","광나루(장신대)","3706","3437","20201004",""
"20201001","5호선","천호(풍납토성)","4993","5137","20201004",""
"20201001","5호선","강동","4947","4632","20201004",""
"20201001","5호선","길동","2036","2040","20201004",""
"20201001","5호선","굽은다리(강동구민회관앞)","2566","2511","20201004",""
"20201001","5호선","명일","1881","1909","20201004",""
"20201001","5호선","고덕","1846","1752","20201004",""
"20201001","5호선","상일동","3499","3289","20201004",""
"20201001","5호선","둔촌동","1897","1857","20201004",""
"20201001","5호선","올림픽공원(한국체대)","1116","1106","20201004",""
"20201001","5호선","방이","1470","1477","20201004",""
"20201001","5호선","오금","750","733","20201004",""
"20201001","5호선","개롱","1495","1594","20201004",""
"20201001","5호선","거여","1953","1924","20201004",""
"20201001","5호선","마천","1739","1812","20201004",""
"20201001","5호선","미사","3344","3304","20201004",""
"20201001","5호선","하남풍산","1492","1558","20201004",""
"20201001","6호선","응암","5544","5466","20201004",""
"20201001","6호선","역촌","1171","1352","20201004",""
"20201001","6호선","불광","1407","1371","20201004",""
"20201001","6호선","독바위","1068","1125","20201004",""
"20201001","6호선","구산","2224","1599","20201004",""
"20201001","6호선","새절(신사)","4091","3896","20201004",""
"20201001","6호선","증산(명지대앞)","3483","3397","20201004",""
"20201001","6호선","디지털미디어시티","2971","2948","20201004",""
"20201001","6호선","월드컵경기장(성산)","2668","2632","20201004",""
"20201001","6호선","마포구청","3900","3449","20201004",""
"20201001","6호선","망원","4037","4350","20201004",""
"20201001","6호선","합정","3774","3608","20201004",""
"20201001","6호선","상수","2028","2506","20201004",""
"20201001","6호선","광흥창(서강)","1688","1514","20201004",""
"20201001","6호선","대흥(서강대앞)","1700","1665","20201004",""
"20201001","6호선","공덕","3196","3043","20201004",""
"20201001","6호선","효창공원앞","1701","1449","20201004",""
"20201001","6호선","삼각지","1399","968","20201004",""
"20201001","6호선","녹사평(용산구청)","1842","1884","20201004",""
"20201001","6호선","이태원","5092","5933","20201004",""
"20201001","6호선","한강진","1923","2221","20201004",""
"20201001","6호선","버티고개","641","730","20201004",""
"20201001","6호선","약수","806","823","20201004",""
"20201001","6호선","청구","1036","997","20201004",""
"20201001","6호선","신당","1314","1205","20201004",""
"20201001","6호선","동묘앞","2707","2588","20201004",""
"20201001","6호선","창신","956","817","20201004",""
"20201001","6호선","보문","2290","1956","20201004",""
"20201001","6호선","안암(고대병원앞)","2290","2349","20201004",""
"20201001","6호선","고려대(종암)","2423","2254","20201004",""
"20201001","6호선","월곡(동덕여대)","3103","2934","20201004",""
"20201001","6호선","상월곡(한국과학기술연구원)","1919","1582","20201004",""
"20201001","6호선","돌곶이","2472","2363","20201004",""
"20201001","6호선","태릉입구","1505","1655","20201004",""
"20201001","6호선","화랑대(서울여대입구)","2651","2311","20201004",""
"20201001","6호선","봉화산(서울의료원)","2201","2163","20201004",""
"20201001","7호선","장암","724","446","20201004",""
"20201001","7호선","도봉산","3062","4140","20201004",""
"20201001","7호선","수락산","4173","4176","20201004",""
"20201001","7호선","마들","3716","3489","20201004",""
"20201001","7호선","노원","4614","5183","20201004",""
"20201001","7호선","중계","4345","3864","20201004",""
"20201001","7호선","하계","4775","4308","20201004",""
"20201001","7호선","공릉(서울과학기술대)","3501","3480","20201004",""
"20201001","7호선","태릉입구","2377","2092","20201004",""
"20201001","7호선","먹골","2990","2761","20201004",""
"20201001","7호선","중화","3357","3154","20201004",""
"20201001","7호선","상봉(시외버스터미널)","5017","4665","20201004",""
"20201001","7호선","면목","4916","4779","20201004",""
"20201001","7호선","사가정","5489","5063","20201004",""
"20201001","7호선","용마산(용마폭포공원)","1992","2144","20201004",""
"20201001","7호선","중곡","2956","2785","20201004",""
"20201001","7호선","군자(능동)","4132","3019","20201004",""
"20201001","7호선","어린이대공원(세종대)","3444","3350","20201004",""
"20201001","7호선","건대입구","3581","3597","20201004",""
"20201001","7호선","뚝섬유원지","4028","3988","20201004",""
"20201001","7호선","청담","2546","2747","20201004",""
"20201001","7호선","강남구청","1674","1844","20201004",""
"20201001","7호선","학동","2077","2091","20201004",""
"20201001","7호선","논현","2812","3067","20201004",""
"20201001","7호선","반포","1059","1021","20201004",""
"20201001","7호선","고속터미널","5787","3807","20201004",""
"20201001","7호선","내방","2282","2087","20201004",""
"20201001","7호선","이수","3801","3501","20201004",""
"20201001","7호선","남성","2965","2906","20201004",""
"20201001","7호선","숭실대입구(살피재)","3091","3126","20201004",""
"20201001","7호선","상도","2752","2570","20201004",""
"20201001","7호선","장승배기","2973","2909","20201004",""
"20201001","7호선","신대방삼거리","4447","4327","20201004",""
"20201001","7호선","보라매","2163","2205","20201004",""
"20201001","7호선","신풍","3616","3332","20201004",""
