"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20200901","일산선","주엽","6123","6290","20200904",""
"20200901","일산선","대화","10034","7923","20200904",""
"20200901","장항선","봉명","802","794","20200904",""
"20200901","장항선","쌍용(나사렛대)","1335","1189","20200904",""
"20200901","중앙선","아신","382","387","20200904",""
"20200901","중앙선","국수","490","489","20200904",""
"20200901","중앙선","신원","128","113","20200904",""
"20200901","중앙선","양수","1255","1303","20200904",""
"20200901","중앙선","운길산","609","537","20200904",""
"20200901","중앙선","팔당","657","663","20200904",""
"20200901","중앙선","도심","1936","1509","20200904",""
"20200901","중앙선","덕소","4313","4272","20200904",""
"20200901","중앙선","양정","730","646","20200904",""
"20200901","중앙선","도농","7497","6924","20200904",""
"20200901","중앙선","구리","10257","10429","20200904",""
"20200901","중앙선","양원","1333","1352","20200904",""
"20200901","중앙선","망우","5941","5752","20200904",""
"20200901","중앙선","상봉(시외버스터미널)","4586","4552","20200904",""
"20200901","중앙선","중랑","4504","4255","20200904",""
"20200901","중앙선","회기","16968","16511","20200904",""
"20200901","장항선","신창(순천향대)","817","879","20200904",""
"20200901","장항선","온양온천","2222","2311","20200904",""
"20200901","장항선","배방","666","664","20200904",""
"20200901","장항선","아산","1650","1485","20200904",""
"20200901","중앙선","원덕","265","254","20200904",""
"20200901","중앙선","용문","1305","1319","20200904",""
"20200901","중앙선","지평","47","35","20200904",""
"20200901","중앙선","양평","1690","1672","20200904",""
"20200901","중앙선","오빈","195","204","20200904",""
"20200901","1호선","서울역","28525","27107","20200904",""
"20200901","1호선","동묘앞","6103","6317","20200904",""
"20200901","1호선","시청","16465","16326","20200904",""
"20200901","1호선","종각","25255","24625","20200904",""
"20200901","1호선","종로3가","17432","15702","20200904",""
"20200901","1호선","종로5가","17334","17293","20200904",""
"20200901","1호선","동대문","9114","8962","20200904",""
"20200901","1호선","신설동","10746","10704","20200904",""
"20200901","1호선","제기동","13524","13967","20200904",""
"20200901","1호선","청량리(서울시립대입구)","16277","16344","20200904",""
"20200901","2호선","시청","18777","18768","20200904",""
"20200901","2호선","을지로입구","29543","30177","20200904",""
"20200901","2호선","을지로3가","16113","15791","20200904",""
"20200901","2호선","을지로4가","10917","10653","20200904",""
"20200901","2호선","동대문역사문화공원(DDP)","8868","9736","20200904",""
"20200901","2호선","신당","11112","11217","20200904",""
"20200901","2호선","상왕십리","10702","10608","20200904",""
"20200901","2호선","왕십리(성동구청)","11126","8902","20200904",""
"20200901","2호선","한양대","5379","5667","20200904",""
"20200901","2호선","뚝섬","15539","16880","20200904",""
"20200901","2호선","성수","27097","29553","20200904",""
"20200901","2호선","건대입구","22737","24420","20200904",""
"20200901","2호선","구의(광진구청)","18694","18446","20200904",""
"20200901","2호선","강변(동서울터미널)","21976","21925","20200904",""
"20200901","2호선","잠실나루","10876","10685","20200904",""
"20200901","2호선","잠실(송파구청)","44891","44795","20200904",""
"20200901","2호선","잠실새내","14403","14253","20200904",""
"20200901","2호선","종합운동장","5061","5432","20200904",""
"20200901","2호선","삼성(무역센터)","38360","38523","20200904",""
"20200901","2호선","선릉","44118","39096","20200904",""
"20200901","2호선","역삼","39579","42800","20200904",""
"20200901","2호선","강남","56065","54850","20200904",""
"20200901","2호선","교대(법원.검찰청)","25861","28439","20200904",""
"20200901","2호선","서초","16835","16664","20200904",""
"20200901","2호선","방배","12632","13053","20200904",""
"20200901","2호선","사당","26517","28641","20200904",""
"20200901","2호선","낙성대(강감찬)","21383","20853","20200904",""
"20200901","2호선","서울대입구(관악구청)","35975","34860","20200904",""
"20200901","2호선","봉천","19680","18577","20200904",""
"20200901","2호선","신림","50390","48893","20200904",""
"20200901","2호선","신대방","21500","21157","20200904",""
"20200901","2호선","구로디지털단지","48530","49063","20200904",""
"20200901","2호선","대림(구로구청)","20736","21279","20200904",""
"20200901","2호선","신도림","37285","36050","20200904",""
"20200901","2호선","문래","16633","16942","20200904",""
"20200901","2호선","영등포구청","18366","18607","20200904",""
"20200901","2호선","당산","14612","16932","20200904",""
"20200901","2호선","합정","21086","21453","20200904",""
"20200901","2호선","홍대입구","29609","30332","20200904",""
"20200901","2호선","신촌","20848","21674","20200904",""
"20200901","2호선","이대","8024","8446","20200904",""
"20200901","2호선","아현","7871","7596","20200904",""
"20200901","2호선","충정로(경기대입구)","8159","8601","20200904",""
"20200901","2호선","용답","2060","1999","20200904",""
"20200901","2호선","신답","1245","1443","20200904",""
"20200901","2호선","신설동","2295","2365","20200904",""
"20200901","2호선","도림천","1064","1133","20200904",""
"20200901","2호선","양천구청","5020","5429","20200904",""
"20200901","2호선","신정네거리","7662","8033","20200904",""
"20200901","2호선","용두(동대문구청)","1833","2014","20200904",""
"20200901","3호선","지축","2413","2512","20200904",""
"20200901","3호선","구파발","15799","14922","20200904",""
"20200901","3호선","연신내","29662","27762","20200904",""
"20200901","3호선","불광","12831","13640","20200904",""
"20200901","3호선","녹번","11617","10708","20200904",""
"20200901","3호선","홍제","13334","12820","20200904",""
