"사용일자","노선명","역명",승차총승객수,하차총승객수,"등록일자"
"20171201","경부선","서정리","6052.0","5683.0","20171204"
"20171201","2호선","서초","26536.0","26469.0","20171204"
"20171201","중앙선","양정","899.0","785.0","20171204"
"20171201","중앙선","덕소","7199.0","7200.0","20171204"
"20171201","중앙선","도심","3193.0","2465.0","20171204"
"20171201","중앙선","팔당","705.0","680.0","20171204"
"20171201","중앙선","운길산","754.0","647.0","20171204"
"20171201","중앙선","양수","1972.0","2018.0","20171204"
"20171201","중앙선","신원","238.0","180.0","20171204"
"20171201","중앙선","국수","1069.0","1001.0","20171204"
"20171201","중앙선","아신","1012.0","876.0","20171204"
"20171201","중앙선","오빈","374.0","392.0","20171204"
"20171201","중앙선","양평","3893.0","3830.0","20171204"
"20171201","중앙선","원덕","450.0","438.0","20171204"
"20171201","중앙선","용문","2300.0","2357.0","20171204"
"20171201","중앙선","지평","79.0","48.0","20171204"
"20171201","장항선","봉명","1493.0","1506.0","20171204"
"20171201","장항선","쌍용(나사렛대)","3319.0","2715.0","20171204"
"20171201","장항선","아산","3834.0","3275.0","20171204"
"20171201","장항선","배방","1299.0","1163.0","20171204"
"20171201","장항선","온양온천","5118.0","5292.0","20171204"
"20171201","장항선","신창(순천향대)","3028.0","1992.0","20171204"
"20171201","경의선","서울역","3222.0","4349.0","20171204"
"20171201","경의선","신촌","936.0","1279.0","20171204"
"20171201","경의선","효창공원앞","2932.0","2991.0","20171204"
"20171201","경의선","공덕","3459.0","3340.0","20171204"
"20171201","경의선","서강대","2430.0","2650.0","20171204"
"20171201","경의선","홍대입구","1817.0","2664.0","20171204"
"20171201","경의선","가좌","5969.0","5336.0","20171204"
"20171201","경의선","디지털미디어시티","2656.0","2515.0","20171204"
"20171201","경의선","수색","2986.0","3029.0","20171204"
"20171201","경의선","화전","3357.0","2945.0","20171204"
"20171201","경의선","강매","3115.0","2731.0","20171204"
"20171201","경의선","행신","9420.0","8828.0","20171204"
"20171201","경의선","능곡","4262.0","3825.0","20171204"
"20171201","경의선","곡산","638.0","650.0","20171204"
"20171201","경의선","백마","7896.0","7302.0","20171204"
"20171201","경의선","풍산","5389.0","4922.0","20171204"
"20171201","경의선","일산","10739.0","10724.0","20171204"
"20171201","경의선","탄현","8866.0","8270.0","20171204"
"20171201","경의선","야당","4733.0","4380.0","20171204"
"20171201","경의선","운정","5870.0","5445.0","20171204"
"20171201","경의선","금릉","5530.0","5429.0","20171204"
"20171201","경의선","금촌","8185.0","7743.0","20171204"
"20171201","경의선","월롱","3766.0","2820.0","20171204"
"20171201","경의선","파주","1853.0","1246.0","20171204"
"20171201","경의선","문산","6871.0","6478.0","20171204"
"20171201","경춘선","신내","858.0","908.0","20171204"
"20171201","경춘선","갈매","2612.0","2277.0","20171204"
"20171201","경춘선","별내","2921.0","2811.0","20171204"
