"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20210301","4호선","사당","9852","9413","20210304",""
"20210301","4호선","남태령","385","332","20210304",""
"20210301","4호선","당고개","5495","5269","20210304",""
"20210301","4호선","상계","8144","7681","20210304",""
"20210301","4호선","노원","9484","9960","20210304",""
"20210301","4호선","창동","10966","12005","20210304",""
"20210301","4호선","쌍문","13035","12140","20210304",""
"20210301","5호선","방화","2655","2702","20210304",""
"20210301","5호선","개화산","2156","2117","20210304",""
"20210301","5호선","김포공항","6098","5471","20210304",""
"20210301","5호선","송정","2747","2828","20210304",""
"20210301","5호선","마곡","2718","2765","20210304",""
"20210301","5호선","발산","6614","6998","20210304",""
"20210301","5호선","우장산","4968","5212","20210304",""
"20210301","5호선","화곡","11039","10642","20210304",""
"20210301","5호선","까치산","12041","12110","20210304",""
"20210301","5호선","신정(은행정)","5139","4724","20210304",""
"20210301","5호선","목동","5968","6232","20210304",""
"20210301","5호선","오목교(목동운동장앞)","9230","9685","20210304",""
"20210301","5호선","양평","1860","2039","20210304",""
"20210301","5호선","영등포구청","1069","1040","20210304",""
"20210301","5호선","영등포시장","3344","3642","20210304",""
"20210301","5호선","신길","1471","1789","20210304",""
"20210301","5호선","여의도","10860","9206","20210304",""
"20210301","5호선","여의나루","4647","7520","20210304",""
"20210301","5호선","마포","4081","4156","20210304",""
"20210301","5호선","공덕","3733","3805","20210304",""
"20210301","5호선","애오개","2083","2162","20210304",""
"20210301","5호선","충정로(경기대입구)","1186","1200","20210304",""
"20210301","5호선","서대문","3780","3663","20210304",""
"20210301","5호선","광화문(세종문화회관)","8396","8023","20210304",""
"20210301","5호선","종로3가","6343","5678","20210304",""
"20210301","5호선","을지로4가","1768","1878","20210304",""
"20210301","5호선","동대문역사문화공원(DDP)","726","773","20210304",""
"20210301","5호선","청구","1649","1643","20210304",""
"20210301","5호선","신금호","2353","2490","20210304",""
"20210301","5호선","행당","2999","2753","20210304",""
"20210301","5호선","왕십리(성동구청)","2045","2287","20210304",""
"20210301","5호선","마장","2119","2099","20210304",""
"20210301","5호선","답십리","5948","5667","20210304",""
"20210301","5호선","장한평","6304","6542","20210304",""
"20210301","5호선","군자(능동)","4740","5448","20210304",""
"20210301","5호선","아차산(어린이대공원후문)","6012","6112","20210304",""
"20210301","5호선","광나루(장신대)","4726","4315","20210304",""
"20210301","5호선","천호(풍납토성)","9296","8761","20210304",""
"20210301","5호선","강동","7297","7268","20210304",""
"20210301","5호선","길동","3219","3468","20210304",""
"20210301","5호선","굽은다리(강동구민회관앞)","4210","4021","20210304",""
"20210301","5호선","명일","3141","3279","20210304",""
"20210301","5호선","고덕","3047","3156","20210304",""
"20210301","5호선","상일동","5899","5795","20210304",""
"20210301","5호선","둔촌동","3439","3580","20210304",""
"20210301","5호선","올림픽공원(한국체대)","1459","1323","20210304",""
"20210301","5호선","방이","2634","2665","20210304",""
"20210301","5호선","오금","1109","1064","20210304",""
"20210301","5호선","개롱","2261","2586","20210304",""
"20210301","5호선","거여","2935","2906","20210304",""
"20210301","5호선","마천","2318","2402","20210304",""
"20210301","5호선","미사","5392","5443","20210304",""
"20210301","5호선","하남풍산","1980","2113","20210304",""
"20210301","6호선","응암","6920","7143","20210304",""
"20210301","6호선","역촌","1590","1833","20210304",""
"20210301","6호선","불광","2331","2092","20210304",""
"20210301","6호선","독바위","1126","1177","20210304",""
"20210301","6호선","구산","2834","2391","20210304",""
"20210301","6호선","새절(신사)","4901","4932","20210304",""
"20210301","6호선","증산(명지대앞)","4181","4383","20210304",""
"20210301","6호선","디지털미디어시티","3861","4173","20210304",""
"20210301","6호선","월드컵경기장(성산)","2022","2098","20210304",""
"20210301","8호선","석촌","3260","3837","20210304",""
"20210301","6호선","마포구청","5292","5133","20210304",""
"20210301","6호선","망원","6237","6771","20210304",""
"20210301","6호선","합정","6440","5792","20210304",""
"20210301","6호선","상수","4127","4441","20210304",""
"20210301","6호선","광흥창(서강)","2883","2878","20210304",""
"20210301","6호선","대흥(서강대앞)","2913","2994","20210304",""
"20210301","6호선","공덕","5229","4991","20210304",""
"20210301","6호선","효창공원앞","2560","2262","20210304",""
"20210301","6호선","삼각지","2141","1807","20210304",""
"20210301","6호선","녹사평(용산구청)","2073","1996","20210304",""
"20210301","6호선","이태원","5336","5149","20210304",""
"20210301","6호선","한강진","3519","3890","20210304",""
"20210301","6호선","버티고개","897","925","20210304",""
"20210301","6호선","약수","1287","1324","20210304",""
"20210301","6호선","청구","1759","1917","20210304",""
"20210301","6호선","신당","4558","4867","20210304",""
"20210301","6호선","동묘앞","3441","3552","20210304",""
"20210301","6호선","창신","1409","1271","20210304",""
"20210301","6호선","보문","3015","2960","20210304",""
"20210301","6호선","안암(고대병원앞)","4285","4578","20210304",""
"20210301","6호선","고려대(종암)","3139","3161","20210304",""
"20210301","6호선","월곡(동덕여대)","4359","4349","20210304",""
