"사용일자","노선명","역명",승차총승객수,하차총승객수,"등록일자"
"20170101","2호선","봉천","11169.0","11198.0","20170109"
"20170101","2호선","신림","40137.0","42005.0","20170109"
"20170101","2호선","신대방","16033.0","16054.0","20170109"
"20170101","2호선","구로디지털단지","28246.0","28497.0","20170109"
"20170101","2호선","대림(구로구청)","20946.0","21926.0","20170109"
"20170101","2호선","신도림","30746.0","31713.0","20170109"
"20170101","2호선","문래","5835.0","6267.0","20170109"
"20170101","2호선","영등포구청","6426.0","6770.0","20170109"
"20170101","경부선","석수","5524.0","5284.0","20170109"
"20170101","경부선","금천구청","6104.0","5769.0","20170109"
"20170101","경부선","가산디지털단지","5801.0","7861.0","20170109"
"20170101","경부선","구로","11977.0","11875.0","20170109"
"20170101","경부선","신길","5453.0","4798.0","20170109"
"20170101","경부선","신도림","1767.0","1959.0","20170109"
"20170101","경부선","영등포","37113.0","36159.0","20170109"
"20170101","경부선","대방","7050.0","7444.0","20170109"
"20170101","경부선","노량진","10950.0","10426.0","20170109"
"20170101","경부선","용산","37162.0","31001.0","20170109"
"20170101","경부선","남영","5398.0","5854.0","20170109"
"20170101","4호선","남태령","565.0","539.0","20170109"
"20170101","4호선","사당","14437.0","13045.0","20170109"
"20170101","4호선","총신대입구(이수)","10396.0","11683.0","20170109"
"20170101","6호선","돌곶이","4511.0","4328.0","20170109"
"20170101","6호선","석계","6129.0","6416.0","20170109"
"20170101","6호선","태릉입구","2474.0","2919.0","20170109"
"20170101","6호선","화랑대(서울여대입구)","4715.0","4351.0","20170109"
"20170101","6호선","봉화산(서울의료원)","4239.0","4262.0","20170109"
"20170101","7호선","장암","1006.0","564.0","20170109"
"20170101","7호선","도봉산","4986.0","7042.0","20170109"
"20170101","7호선","수락산","7941.0","7861.0","20170109"
"20170101","7호선","마들","5376.0","5247.0","20170109"
"20170101","7호선","노원","10409.0","11353.0","20170109"
"20170101","7호선","중계","7735.0","7446.0","20170109"
"20170101","7호선","하계","10178.0","9784.0","20170109"
"20170101","7호선","공릉(서울과학기술대)","5845.0","6572.0","20170109"
"20170101","7호선","태릉입구","4076.0","3756.0","20170109"
"20170101","7호선","먹골","5044.0","5193.0","20170109"
"20170101","7호선","중화","5730.0","5581.0","20170109"
"20170101","7호선","상봉(시외버스터미널)","9236.0","8582.0","20170109"
"20170101","7호선","면목","7647.0","7869.0","20170109"
"20170101","7호선","사가정","8782.0","8562.0","20170109"
"20170101","7호선","용마산","3176.0","3331.0","20170109"
"20170101","7호선","중곡","5255.0","4883.0","20170109"
"20170101","7호선","군자(능동)","7719.0","4592.0","20170109"
"20170101","7호선","어린이대공원(세종대)","6422.0","6555.0","20170109"
"20170101","7호선","건대입구","9332.0","10256.0","20170109"
"20170101","7호선","뚝섬유원지","4958.0","4703.0","20170109"
"20170101","7호선","청담","6318.0","6662.0","20170109"
"20170101","7호선","강남구청","3800.0","3924.0","20170109"
"20170101","7호선","학동","4767.0","4616.0","20170109"
"20170101","7호선","논현","6013.0","6073.0","20170109"
"20170101","7호선","반포","3084.0","3026.0","20170109"
"20170101","7호선","고속터미널","19085.0","10912.0","20170109"
"20170101","7호선","내방","4367.0","4721.0","20170109"
"20170101","7호선","이수","7998.0","7778.0","20170109"
"20170101","7호선","남성","5142.0","5387.0","20170109"
"20170101","7호선","숭실대입구(살피재)","5769.0","6617.0","20170109"
"20170101","7호선","상도","5250.0","5500.0","20170109"
"20170101","7호선","장승배기","5421.0","5624.0","20170109"
"20170101","7호선","신대방삼거리","7446.0","7775.0","20170109"
"20170101","7호선","보라매","3863.0","3937.0","20170109"
"20170101","7호선","신풍","6548.0","6395.0","20170109"
"20170101","7호선","대림(구로구청)","11989.0","11292.0","20170109"
"20170101","7호선","남구로","9508.0","8805.0","20170109"
"20170101","7호선","가산디지털단지","12897.0","12084.0","20170109"
"20170101","7호선","철산","11558.0","11671.0","20170109"
"20170101","7호선","광명사거리","15422.0","15212.0","20170109"
"20170101","7호선","천왕","3864.0","3833.0","20170109"
"20170101","7호선","온수(성공회대입구)","4315.0","4488.0","20170109"
"20170101","7호선","까치울","3221.0","3042.0","20170109"
"20170101","7호선","부천종합운동장","2674.0","2677.0","20170109"
"20170101","7호선","춘의","3591.0","3365.0","20170109"
"20170101","7호선","신중동","6026.0","6128.0","20170109"
"20170101","7호선","부천시청","5939.0","5938.0","20170109"
"20170101","7호선","상동","7585.0","7070.0","20170109"
"20170101","7호선","삼산체육관","2347.0","2233.0","20170109"
"20170101","7호선","굴포천","4563.0","4672.0","20170109"
"20170101","7호선","부평구청","5162.0","4152.0","20170109"
"20170101","8호선","암사","7664.0","7476.0","20170109"
"20170101","8호선","천호(풍납토성)","9404.0","10364.0","20170109"
"20170101","8호선","강동구청","4169.0","4466.0","20170109"
"20170101","8호선","몽촌토성(평화의문)","4116.0","3978.0","20170109"
"20170101","8호선","잠실(송파구청)","8910.0","9410.0","20170109"
"20170101","8호선","석촌","4041.0","4463.0","20170109"
"20170101","8호선","송파","2325.0","2379.0","20170109"
"20170101","8호선","가락시장","2860.0","3254.0","20170109"
"20170101","8호선","문정","2908.0","3086.0","20170109"
"20170101","8호선","장지","8493.0","8473.0","20170109"
"20170101","8호선","복정","4725.0","3967.0","20170109"
"20170101","8호선","산성","3422.0","3636.0","20170109"
"20170101","8호선","남한산성입구(성남법원.검찰청)","6207.0","6157.0","20170109"
"20170101","8호선","단대오거리","5653.0","5734.0","20170109"
"20170101","8호선","신흥","2962.0","3132.0","20170109"
"20170101","8호선","수진","3359.0","3163.0","20170109"
"20170101","8호선","모란","2222.0","1860.0","20170109"
"20170101","9호선","개화","2402.0","1928.0","20170109"
"20170101","9호선","김포공항","7547.0","9158.0","20170109"
"20170101","9호선","공항시장","1693.0","2002.0","20170109"
"20170101","9호선","신방화","4056.0","4172.0","20170109"
"20170101","9호선","마곡나루","1099.0","1173.0","20170109"
"20170101","9호선","양천향교","3113.0","3415.0","20170109"
"20170101","9호선","가양","11004.0","10890.0","20170109"
"20170101","9호선","증미","2867.0","3145.0","20170109"
"20170101","9호선","등촌","4131.0","4349.0","20170109"
"20170101","9호선","염창","7219.0","7355.0","20170109"
"20170101","9호선","신목동","1675.0","1556.0","20170109"
"20170101","9호선","선유도","2320.0","2424.0","20170109"
"20170101","9호선","당산","7858.0","7693.0","20170109"
"20170101","9호선","국회의사당","5073.0","4200.0","20170109"
"20170101","9호선","여의도","5497.0","5480.0","20170109"
"20170101","9호선","샛강","1737.0","1728.0","20170109"
"20170101","9호선","노량진","15537.0","19170.0","20170109"
"20170101","9호선","노들","2540.0","2420.0","20170109"
"20170101","9호선","흑석(중앙대입구)","4237.0","4725.0","20170109"
"20170101","9호선","동작(현충원)","1324.0","1307.0","20170109"
"20170101","9호선","구반포","1047.0","1102.0","20170109"
"20170101","9호선","신반포","1661.0","1773.0","20170109"
"20170101","9호선","고속터미널","10421.0","14305.0","20170109"
"20170101","9호선","사평","1049.0","1049.0","20170109"
"20170101","9호선","신논현","12498.0","11887.0","20170109"
"20170101","공항철도 1호선","서울역","9980.0","7718.0","20170109"
"20170101","공항철도 1호선","공덕","792.0","1069.0","20170109"
"20170101","공항철도 1호선","홍대입구","7081.0","6301.0","20170109"
"20170101","공항철도 1호선","디지털미디어시티","3129.0","3219.0","20170109"
"20170101","공항철도 1호선","김포공항","8204.0","4529.0","20170109"
"20170101","공항철도 1호선","계양","5366.0","5781.0","20170109"
"20170101","공항철도 1호선","검암","5545.0","6146.0","20170109"
"20170101","공항철도 1호선","청라국제도시","2387.0","2385.0","20170109"
"20170101","공항철도 1호선","운서","3927.0","4558.0","20170109"
"20170101","공항철도 1호선","공항화물청사","1165.0","1291.0","20170109"
"20170101","공항철도 1호선","인천국제공항","15645.0","14989.0","20170109"
"20170101","공항철도 1호선","영종","1141.0","1325.0","20170109"
"20170101","4호선","동작(현충원)","1183.0","1367.0","20170109"
"20170101","4호선","이촌(국립중앙박물관)","4161.0","4821.0","20170109"
"20170101","4호선","신용산","6551.0","5885.0","20170109"
"20170101","4호선","삼각지","2069.0","2908.0","20170109"
"20170101","4호선","숙대입구(갈월)","7908.0","7807.0","20170109"
"20170101","4호선","서울역","5830.0","13338.0","20170109"
"20170101","4호선","회현(남대문시장)","9556.0","9217.0","20170109"
"20170101","4호선","명동","37437.0","40926.0","20170109"
"20170101","4호선","충무로","12060.0","12262.0","20170109"
"20170101","4호선","동대문역사문화공원","15697.0","12582.0","20170109"
"20170101","4호선","동대문","10420.0","9730.0","20170109"
"20170101","4호선","혜화","25895.0","27644.0","20170109"
"20170101","4호선","한성대입구(삼선교)","7621.0","7883.0","20170109"
"20170101","4호선","성신여대입구(돈암)","13890.0","13503.0","20170109"
"20170101","4호선","길음","12572.0","12255.0","20170109"
"20170101","4호선","미아사거리","16838.0","16216.0","20170109"
"20170101","4호선","미아(서울사이버대학)","9445.0","8854.0","20170109"
"20170101","4호선","수유(강북구청)","25119.0","24141.0","20170109"
"20170101","4호선","쌍문","17286.0","15554.0","20170109"
"20170101","4호선","창동","15089.0","16619.0","20170109"
"20170101","4호선","노원","14063.0","14953.0","20170109"
"20170101","4호선","상계","10949.0","10526.0","20170109"
"20170101","4호선","당고개","7909.0","7540.0","20170109"
"20170101","3호선","오금","2936.0","2948.0","20170109"
"20170101","3호선","경찰병원","2750.0","3038.0","20170109"
"20170101","3호선","가락시장","3712.0","3808.0","20170109"
"20170101","3호선","수서","9696.0","8401.0","20170109"
"20170101","3호선","일원","3190.0","3662.0","20170109"
"20170101","3호선","대청","3884.0","3764.0","20170109"
"20170101","3호선","학여울","1009.0","1067.0","20170109"
"20170101","3호선","대치","5497.0","5076.0","20170109"
"20170101","3호선","도곡","2277.0","2206.0","20170109"
"20170101","경부선","평택","12253.0","14118.0","20170109"
"20170101","경부선","성환","2823.0","3736.0","20170109"
"20170101","경부선","직산","744.0","951.0","20170109"
"20170101","경부선","두정","3917.0","4761.0","20170109"
"20170101","경부선","천안","8139.0","7448.0","20170109"
"20170101","경부선","당정","2955.0","3187.0","20170109"
"20170101","경부선","서동탄","887.0","927.0","20170109"
